MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
37.39833333333333,8,20,0.4,3,6,0.5,4,4,1.0,8,11,1,2,0,23
37.46666666666667,12,20,0.6,4,9,0.444,3,4,0.75,2,8,7,2,0,31
23.45,6,15,0.4,2,4,0.5,1,1,1.0,4,5,2,1,0,15
32.18333333333333,10,22,0.455,2,7,0.286,4,4,1.0,5,7,1,1,0,26
37.57333333333333,10,26,0.385,2,4,0.5,9,9,1.0,3,5,4,0,0,31
38.016666666666666,7,17,0.412,2,4,0.5,11,11,1.0,2,9,5,3,1,27
26.833333333333332,7,17,0.412,3,5,0.6,1,3,0.333,5,4,3,0,0,18
34.00666666666667,9,21,0.429,2,7,0.286,0,0,0.0,5,8,4,0,0,20
37.583333333333336,4,14,0.286,1,3,0.333,0,0,0.0,3,12,6,3,0,9
38.13333333333333,4,15,0.267,0,5,0.0,2,2,1.0,3,5,1,0,1,10
35.775,8,18,0.444,1,5,0.2,4,4,1.0,4,7,4,0,0,21
38.9,11,27,0.407,2,8,0.25,9,10,0.9,8,8,5,0,0,33
39.666666666666664,7,18,0.389,1,6,0.167,6,7,0.857,4,5,5,2,0,21
38.583333333333336,12,24,0.5,0,6,0.0,2,3,0.667,3,6,6,0,1,26
33.56333333333333,8,22,0.364,2,7,0.286,4,5,0.8,2,11,6,1,0,22
37.318333333333335,11,27,0.407,5,9,0.556,3,3,1.0,5,4,6,1,0,30
35.45,5,15,0.333,3,7,0.429,4,5,0.8,2,5,7,0,0,17
39.61833333333333,9,19,0.474,1,4,0.25,6,7,0.857,4,10,6,0,0,25
24.138333333333332,4,13,0.308,2,5,0.4,2,2,1.0,2,6,5,1,0,12
35.766666666666666,13,27,0.481,4,9,0.444,0,0,0.0,3,9,3,1,1,30
