MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
30.316666666666666,4,9,0.444,1,5,0.2,2,2,1.0,7,5,3,2,0,11
32.25,2,6,0.333,1,4,0.25,0,0,0.0,7,0,2,0,0,5
24.783333333333335,4,9,0.444,3,7,0.429,1,1,1.0,3,0,2,0,1,12
28.636666666666667,3,11,0.273,1,7,0.143,0,0,0.0,8,0,0,1,0,7
27.216666666666665,4,8,0.5,0,0,0.0,2,2,1.0,6,1,0,2,1,10
35.266666666666666,4,8,0.5,1,2,0.5,2,2,1.0,11,1,1,0,2,11
20.816666666666666,3,7,0.429,1,2,0.5,1,1,1.0,5,1,0,0,0,8
30.533333333333335,4,11,0.364,1,4,0.25,2,2,1.0,10,2,1,1,2,11
19.366666666666667,4,9,0.444,1,5,0.2,1,1,1.0,1,0,0,0,1,10
31.366666666666667,6,13,0.462,3,5,0.6,2,4,0.5,11,2,3,0,0,17
31.683333333333334,4,10,0.4,2,5,0.4,0,0,0.0,6,2,3,0,1,10
36.93833333333333,3,9,0.333,2,7,0.286,0,0,0.0,4,1,1,0,2,8
38.526666666666664,5,9,0.556,3,5,0.6,4,4,1.0,11,4,3,0,1,17
34.333333333333336,3,6,0.5,1,2,0.5,1,2,0.5,2,1,3,0,0,8
34.885,3,7,0.429,1,3,0.333,4,6,0.667,8,0,2,0,2,11
33.3,5,8,0.625,2,4,0.5,0,0,0.0,6,4,2,1,0,12
30.848333333333333,4,9,0.444,2,3,0.667,2,2,1.0,7,1,2,0,0,12
33.745,6,14,0.429,0,3,0.0,2,3,0.667,9,0,2,0,0,14
36.21666666666667,6,11,0.545,2,5,0.4,1,2,0.5,7,1,4,0,1,15
34.608333333333334,6,11,0.545,2,3,0.667,0,0,0.0,14,2,1,0,0,14
