MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.05,2,7,0.286,0,3,0.0,3,4,0.75,2,1,1,0,0,7
12.533333333333333,1,2,0.5,1,1,1.0,2,2,1.0,2,1,1,0,1,5
18.816666666666666,1,6,0.167,1,2,0.5,4,4,1.0,1,3,1,1,0,7
32.53333333333333,6,12,0.5,2,3,0.667,1,2,0.5,7,7,3,1,1,15
32.13,9,16,0.563,1,6,0.167,6,9,0.667,2,3,3,1,1,25
29.983333333333334,7,8,0.875,1,1,1.0,2,2,1.0,4,3,4,1,0,17
28.066666666666666,3,10,0.3,0,5,0.0,3,4,0.75,3,4,0,0,0,9
29.116666666666667,4,6,0.667,1,2,0.5,2,2,1.0,2,3,6,1,0,11
20.65,4,7,0.571,1,2,0.5,2,4,0.5,5,5,1,1,0,11
11.416666666666666,2,4,0.5,0,2,0.0,2,2,1.0,0,2,2,1,0,6
21.5,4,6,0.667,1,3,0.333,3,4,0.75,7,0,2,0,1,12
21.55,3,7,0.429,1,3,0.333,3,3,1.0,2,2,1,1,1,10
19.283333333333335,7,13,0.538,4,6,0.667,2,2,1.0,2,3,1,1,1,20
21.976666666666667,3,6,0.5,1,2,0.5,0,0,0.0,0,3,2,1,0,7
23.0,8,14,0.571,2,6,0.333,0,0,0.0,2,4,2,1,0,18
17.133333333333333,1,7,0.143,0,2,0.0,2,3,0.667,2,3,3,0,0,4
