MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.8,8,8,1.0,0,0,0.0,1,6,0.167,11,1,2,1,2,17
33.53333333333333,5,7,0.714,0,0,0.0,0,0,0.0,12,2,2,0,0,10
17.5,3,8,0.375,0,0,0.0,0,0,0.0,7,0,2,0,1,6
33.39666666666667,5,8,0.625,0,0,0.0,2,5,0.4,14,3,6,1,5,12
28.973333333333333,5,10,0.5,0,1,0.0,3,4,0.75,13,4,2,1,1,13
22.7,2,5,0.4,0,0,0.0,0,0,0.0,4,3,3,0,1,4
28.45,5,10,0.5,0,1,0.0,1,1,1.0,12,5,2,0,0,11
31.083333333333332,6,10,0.6,0,0,0.0,0,0,0.0,11,3,5,2,0,12
25.078333333333333,5,8,0.625,0,0,0.0,2,2,1.0,5,1,1,0,0,12
23.316666666666666,4,11,0.364,0,0,0.0,0,1,0.0,7,1,1,1,0,8
33.218333333333334,9,11,0.818,0,0,0.0,5,5,1.0,15,5,1,1,2,23
34.85,7,8,0.875,0,0,0.0,0,0,0.0,17,3,5,1,2,14
31.816666666666666,8,11,0.727,0,0,0.0,1,3,0.333,14,4,4,0,4,17
