MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.466666666666667,3,6,0.5,0,0,0.0,2,2,1.0,3,1,1,0,1,8
14.483333333333333,2,4,0.5,0,0,0.0,0,2,0.0,2,0,0,0,0,4
14.216666666666667,3,6,0.5,0,0,0.0,0,0,0.0,6,2,1,0,3,6
25.751666666666665,7,13,0.538,0,0,0.0,4,5,0.8,8,1,1,0,0,18
14.916666666666666,3,4,0.75,0,0,0.0,0,0,0.0,2,3,0,0,0,6
15.85,3,5,0.6,0,0,0.0,2,2,1.0,3,1,1,1,1,8
30.2,9,12,0.75,0,0,0.0,4,4,1.0,11,1,4,0,1,22
23.083333333333332,6,12,0.5,0,1,0.0,2,2,1.0,5,1,3,0,1,14
13.3,3,4,0.75,0,0,0.0,0,0,0.0,5,1,1,0,0,6
19.55,5,6,0.833,0,0,0.0,2,2,1.0,2,2,1,0,1,12
24.466666666666665,4,8,0.5,0,0,0.0,2,2,1.0,2,1,1,0,0,10
11.333333333333334,3,5,0.6,0,0,0.0,5,5,1.0,2,1,1,0,0,11
13.351666666666667,3,7,0.429,0,0,0.0,0,0,0.0,9,0,1,0,1,6
33.31666666666667,3,10,0.3,0,2,0.0,4,5,0.8,6,3,5,0,2,10
23.99,3,4,0.75,0,0,0.0,7,8,0.875,4,1,0,0,0,13
14.781666666666666,5,8,0.625,1,1,1.0,0,0,0.0,6,0,0,0,0,11
13.15,5,9,0.556,0,1,0.0,4,5,0.8,4,1,0,0,0,14
16.183333333333334,3,3,1.0,0,0,0.0,2,2,1.0,8,3,1,0,1,8
