MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
19.166666666666668,4,10,0.4,1,4,0.25,2,3,0.667,3,2,0,1,0,11
12.116666666666667,5,7,0.714,3,4,0.75,0,0,0.0,1,0,0,1,0,13
10.35,1,2,0.5,0,0,0.0,3,4,0.75,4,0,1,1,0,5
10.333333333333334,1,3,0.333,0,1,0.0,2,2,1.0,1,0,0,1,0,4
10.4,1,3,0.333,0,1,0.0,4,4,1.0,1,0,0,0,0,6
17.833333333333332,1,4,0.25,1,3,0.333,0,0,0.0,2,0,0,0,1,3
17.983333333333334,5,7,0.714,3,4,0.75,1,3,0.333,6,1,0,1,1,14
18.01,2,6,0.333,1,2,0.5,1,2,0.5,4,0,0,0,0,6
20.266666666666666,2,8,0.25,1,3,0.333,4,4,1.0,9,0,1,0,1,9
20.5,3,6,0.5,1,2,0.5,0,0,0.0,7,2,0,0,3,7
21.976666666666667,2,4,0.5,2,3,0.667,0,0,0.0,5,1,0,0,0,6
14.898333333333333,4,4,1.0,1,1,1.0,1,2,0.5,2,0,1,0,1,10
12.783333333333333,2,4,0.5,0,2,0.0,2,2,1.0,4,0,1,0,1,6
13.451666666666666,2,4,0.5,0,1,0.0,2,2,1.0,5,1,0,1,0,6
16.933333333333334,1,4,0.25,0,0,0.0,2,2,1.0,7,1,1,0,1,4
11.7,1,6,0.167,0,2,0.0,3,3,1.0,4,0,1,1,0,5
16.666666666666668,3,4,0.75,0,0,0.0,4,5,0.8,6,0,1,0,0,10
