MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.916666666666664,3,10,0.3,1,6,0.167,3,4,0.75,1,9,2,0,0,10
33.68333333333333,3,11,0.273,1,2,0.5,1,1,1.0,6,12,0,1,0,8
32.016666666666666,5,15,0.333,2,5,0.4,2,3,0.667,5,9,0,1,0,14
29.355,5,11,0.455,2,5,0.4,3,3,1.0,2,4,1,2,0,15
33.93333333333333,6,16,0.375,1,9,0.111,4,4,1.0,0,5,3,0,0,17
31.533333333333335,10,16,0.625,2,5,0.4,4,4,1.0,6,5,4,1,0,26
27.266666666666666,8,13,0.615,4,4,1.0,4,4,1.0,1,1,2,0,0,24
26.383333333333333,8,15,0.533,0,4,0.0,1,2,0.5,2,7,0,1,0,17
35.05,9,19,0.474,5,11,0.455,0,0,0.0,7,6,2,0,0,23
22.52166666666667,2,9,0.222,1,4,0.25,4,4,1.0,3,5,2,2,0,9
34.9,1,12,0.083,0,4,0.0,2,2,1.0,4,6,3,0,0,4
25.316666666666666,3,7,0.429,1,3,0.333,7,7,1.0,1,4,1,1,0,14
29.716666666666665,7,13,0.538,1,4,0.25,3,4,0.75,2,5,2,2,1,18
38.05,10,19,0.526,1,8,0.125,3,4,0.75,3,6,2,2,1,24
31.423333333333332,4,9,0.444,1,2,0.5,4,6,0.667,3,10,3,1,0,13
28.6,9,13,0.692,2,4,0.5,4,4,1.0,4,11,2,1,0,24
32.0,4,10,0.4,1,3,0.333,1,1,1.0,1,8,1,1,0,10
35.28333333333333,5,14,0.357,4,6,0.667,1,2,0.5,4,10,1,2,0,15
35.32833333333333,3,11,0.273,2,5,0.4,2,3,0.667,2,10,2,0,0,10
32.54833333333333,8,17,0.471,4,8,0.5,2,2,1.0,3,7,2,0,0,22
