MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
22.566666666666666,2,6,0.333,0,1,0.0,0,1,0.0,1,4,0,0,0,4
25.15,5,13,0.385,3,7,0.429,0,0,0.0,5,2,0,0,0,13
24.768333333333334,7,12,0.583,1,4,0.25,0,0,0.0,2,1,0,1,0,15
25.655,5,13,0.385,1,7,0.143,2,2,1.0,1,0,1,1,0,13
20.506666666666668,6,13,0.462,4,9,0.444,0,0,0.0,1,2,0,1,0,16
25.061666666666667,2,5,0.4,2,4,0.5,2,4,0.5,1,1,2,1,0,8
20.616666666666667,1,6,0.167,1,2,0.5,0,0,0.0,0,1,0,0,0,3
26.433333333333334,6,12,0.5,2,7,0.286,4,4,1.0,1,3,0,1,1,18
31.048333333333332,4,9,0.444,3,5,0.6,3,4,0.75,2,1,0,1,0,14
26.116666666666667,6,11,0.545,4,8,0.5,0,0,0.0,2,1,0,1,0,16
29.016666666666666,4,8,0.5,2,4,0.5,0,0,0.0,0,0,2,1,0,10
23.133333333333333,2,8,0.25,2,5,0.4,2,4,0.5,5,0,3,1,0,8
23.416666666666668,4,11,0.364,0,5,0.0,0,0,0.0,3,1,1,0,0,8
18.883333333333333,1,7,0.143,0,1,0.0,1,3,0.333,1,2,0,1,0,3
33.083333333333336,6,16,0.375,3,5,0.6,2,4,0.5,2,0,1,1,0,17
36.13666666666666,6,15,0.4,3,10,0.3,1,4,0.25,5,1,1,2,0,16
26.7,2,8,0.25,1,4,0.25,0,0,0.0,2,2,0,1,1,5
