MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
11.666666666666666,1,4,0.25,1,3,0.333,0,0,0.0,2,2,0,0,0,3
12.1,1,3,0.333,1,2,0.5,2,2,1.0,0,0,0,1,0,5
10.0,0,5,0.0,0,4,0.0,0,0,0.0,1,1,2,0,0,0
26.383333333333333,2,10,0.2,1,6,0.167,6,6,1.0,0,2,1,1,0,11
24.016666666666666,3,4,0.75,2,3,0.667,0,0,0.0,4,2,2,0,0,8
14.543333333333333,1,4,0.25,0,2,0.0,2,2,1.0,1,1,1,0,0,4
14.15,0,2,0.0,0,2,0.0,0,0,0.0,3,4,1,0,0,0
13.593333333333334,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0
21.245,2,10,0.2,1,8,0.125,0,0,0.0,1,0,0,0,0,5
20.833333333333332,2,7,0.286,0,3,0.0,0,0,0.0,6,0,0,2,0,4
28.45,5,8,0.625,4,6,0.667,2,2,1.0,2,1,1,0,0,16
