MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
27.85,6,9,0.667,0,0,0.0,0,0,0.0,12,1,1,0,2,12
29.711666666666666,8,9,0.889,0,0,0.0,1,2,0.5,4,1,2,0,1,17
24.65,3,5,0.6,0,0,0.0,0,0,0.0,9,4,1,1,2,6
34.93833333333333,8,9,0.889,0,0,0.0,2,2,1.0,13,2,1,2,0,18
30.576666666666668,7,8,0.875,0,0,0.0,1,5,0.2,10,3,1,2,1,15
29.033333333333335,3,4,0.75,0,0,0.0,0,0,0.0,4,6,3,0,1,6
22.916666666666668,5,7,0.714,0,0,0.0,0,0,0.0,10,1,4,0,1,10
24.683333333333334,6,6,1.0,0,0,0.0,4,5,0.8,10,4,1,1,3,16
33.82,5,5,1.0,0,0,0.0,1,2,0.5,8,4,3,1,0,11
27.166666666666668,6,10,0.6,0,0,0.0,1,2,0.5,11,1,0,4,2,13
24.166666666666668,6,8,0.75,0,0,0.0,1,3,0.333,6,5,1,0,0,13
21.283333333333335,6,10,0.6,0,0,0.0,0,0,0.0,3,2,1,0,0,12
20.716666666666665,2,5,0.4,0,0,0.0,0,1,0.0,6,3,1,2,0,4
28.47833333333333,8,10,0.8,0,0,0.0,0,2,0.0,10,0,1,3,1,16
27.783333333333335,4,8,0.5,0,0,0.0,1,1,1.0,9,2,4,0,1,9
29.138333333333332,7,10,0.7,0,0,0.0,0,0,0.0,11,2,2,0,3,14
28.45,6,8,0.75,0,0,0.0,2,3,0.667,10,1,2,0,1,14
24.8,2,5,0.4,0,0,0.0,2,3,0.667,7,3,2,0,1,6
18.783333333333335,4,5,0.8,0,0,0.0,0,0,0.0,6,0,3,0,0,8
23.716666666666665,3,3,1.0,0,0,0.0,1,4,0.25,11,1,0,1,1,7
