MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
11.083333333333334,0,2,0.0,0,1,0.0,0,0,0.0,1,4,0,0,1,0
14.31,0,3,0.0,0,3,0.0,2,2,1.0,5,1,1,0,0,2
15.983333333333333,2,5,0.4,1,3,0.333,0,0,0.0,0,1,0,0,0,5
16.69,1,6,0.167,1,4,0.25,0,0,0.0,4,0,1,0,0,3
14.066666666666666,0,2,0.0,0,2,0.0,2,2,1.0,1,1,1,1,0,2
19.855,6,8,0.75,2,3,0.667,0,0,0.0,4,2,1,0,1,14
18.85,2,4,0.5,1,2,0.5,1,2,0.5,3,1,1,1,1,6
21.333333333333332,3,5,0.6,1,2,0.5,0,2,0.0,2,4,1,2,0,7
19.266666666666666,2,5,0.4,1,1,1.0,0,0,0.0,1,5,1,0,0,5
26.866666666666667,3,11,0.273,0,8,0.0,1,1,1.0,3,5,0,0,1,7
22.75,2,5,0.4,1,4,0.25,1,1,1.0,2,1,1,1,0,6
22.683333333333334,5,7,0.714,2,4,0.5,0,1,0.0,1,1,1,0,0,12
14.783333333333333,2,5,0.4,2,4,0.5,2,2,1.0,4,4,0,0,0,8
14.95,1,3,0.333,1,2,0.5,2,2,1.0,3,4,0,0,0,5
16.576666666666668,2,5,0.4,2,3,0.667,0,0,0.0,3,1,1,2,0,6
19.4,1,3,0.333,0,1,0.0,0,0,0.0,3,4,3,3,0,2
14.85,3,5,0.6,0,2,0.0,0,0,0.0,1,0,1,1,0,6
12.716666666666667,2,4,0.5,2,2,1.0,1,1,1.0,0,2,3,1,0,7
