MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.82833333333333,7,16,0.438,0,4,0.0,7,8,0.875,8,3,3,0,0,21
36.098333333333336,9,21,0.429,1,5,0.2,3,3,1.0,9,3,3,1,0,22
34.96666666666667,6,18,0.333,0,4,0.0,5,7,0.714,10,2,2,1,0,17
37.65,7,17,0.412,0,4,0.0,4,6,0.667,8,6,4,1,1,18
37.483333333333334,6,12,0.5,1,6,0.167,5,6,0.833,3,8,3,1,0,18
37.6,13,24,0.542,1,3,0.333,9,11,0.818,10,5,2,0,1,36
30.166666666666668,5,10,0.5,0,2,0.0,6,8,0.75,2,8,2,1,0,16
28.666666666666668,10,18,0.556,1,2,0.5,2,3,0.667,7,6,0,1,0,23
29.108333333333334,11,16,0.688,0,1,0.0,1,1,1.0,6,5,3,0,0,23
28.6,4,9,0.444,0,2,0.0,3,5,0.6,7,5,4,0,1,11
37.53333333333333,15,23,0.652,0,3,0.0,9,14,0.643,11,7,6,3,0,39
28.123333333333335,6,17,0.353,0,4,0.0,5,6,0.833,7,3,3,3,0,17
37.196666666666665,15,25,0.6,0,5,0.0,1,4,0.25,12,5,3,0,0,31
35.81666666666667,2,12,0.167,1,4,0.25,3,3,1.0,6,5,3,1,0,8
33.15,5,11,0.455,0,3,0.0,0,0,0.0,3,6,2,0,0,10
32.9,9,13,0.692,5,8,0.625,3,3,1.0,6,7,3,0,0,26
35.1,9,21,0.429,0,6,0.0,2,3,0.667,6,3,0,1,0,20
36.3,3,8,0.375,2,5,0.4,3,4,0.75,7,4,2,0,1,11
41.28333333333333,7,15,0.467,1,5,0.2,3,5,0.6,8,2,3,0,0,18
34.08833333333333,5,17,0.294,3,5,0.6,2,2,1.0,7,6,2,1,0,15
