MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.733333333333334,13,19,0.684,3,7,0.429,0,1,0.0,9,4,2,5,1,29
37.71666666666667,7,15,0.467,1,3,0.333,8,8,1.0,7,4,0,0,3,23
36.33166666666666,5,19,0.263,3,7,0.429,4,5,0.8,11,6,1,3,0,17
33.016666666666666,5,14,0.357,1,4,0.25,4,5,0.8,8,3,2,1,1,15
32.56666666666667,5,11,0.455,2,5,0.4,1,2,0.5,10,6,1,1,2,13
39.416666666666664,7,17,0.412,2,6,0.333,4,5,0.8,12,4,3,4,0,20
30.0,5,11,0.455,1,4,0.25,3,4,0.75,8,4,5,3,0,14
25.233333333333334,7,11,0.636,3,4,0.75,0,0,0.0,7,9,3,0,0,17
32.43,5,13,0.385,2,6,0.333,2,3,0.667,3,6,1,0,1,14
31.383333333333333,11,19,0.579,3,3,1.0,4,5,0.8,9,7,3,1,0,29
38.083333333333336,8,17,0.471,0,2,0.0,3,4,0.75,9,4,1,5,0,19
28.723333333333333,4,15,0.267,2,9,0.222,0,0,0.0,5,4,1,1,1,10
39.15,4,15,0.267,0,4,0.0,6,8,0.75,14,7,0,4,2,14
42.18333333333333,9,20,0.45,5,10,0.5,7,11,0.636,11,6,3,3,3,30
35.03333333333333,9,16,0.563,2,7,0.286,4,4,1.0,8,8,1,0,0,24
28.583333333333332,8,16,0.5,4,6,0.667,1,1,1.0,12,5,3,1,2,21
37.35,8,19,0.421,1,4,0.25,3,3,1.0,12,2,4,2,1,20
36.65,11,16,0.688,2,5,0.4,0,0,0.0,8,5,1,0,2,24
38.571666666666665,9,14,0.643,1,2,0.5,3,4,0.75,10,10,7,0,2,22
37.05,6,16,0.375,1,4,0.25,4,6,0.667,8,5,4,2,5,17
