MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.066666666666666,5,6,0.833,1,2,0.5,0,0,0.0,1,3,0,0,0,11
35.075,4,10,0.4,0,5,0.0,1,1,1.0,3,5,0,0,0,9
20.9,3,8,0.375,2,4,0.5,0,0,0.0,4,4,1,0,0,8
14.7,3,4,0.75,1,1,1.0,0,0,0.0,0,0,0,1,1,7
16.616666666666667,3,6,0.5,1,4,0.25,0,0,0.0,3,2,0,0,0,7
28.4,4,5,0.8,3,4,0.75,2,3,0.667,4,1,0,4,0,13
15.133333333333333,0,3,0.0,0,2,0.0,0,0,0.0,0,5,1,0,0,0
17.536666666666665,2,3,0.667,1,2,0.5,0,0,0.0,1,2,0,1,0,5
16.616666666666667,2,8,0.25,1,5,0.2,0,0,0.0,2,2,0,0,0,5
14.366666666666667,1,5,0.2,1,3,0.333,2,2,1.0,0,2,0,1,0,5
22.886666666666667,3,6,0.5,1,2,0.5,0,0,0.0,2,3,0,0,0,7
21.15,6,6,1.0,0,0,0.0,1,1,1.0,3,1,2,1,0,13
19.0,0,4,0.0,0,2,0.0,0,0,0.0,3,0,1,0,0,0
10.85,2,2,1.0,2,2,1.0,0,0,0.0,1,1,1,0,0,6
