MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.733333333333334,8,25,0.32,3,8,0.375,2,2,1.0,13,5,0,2,2,21
28.166666666666668,10,18,0.556,2,6,0.333,0,0,0.0,7,4,1,1,0,22
34.96666666666667,10,19,0.526,0,2,0.0,11,14,0.786,9,6,3,0,1,31
42.8,8,19,0.421,0,4,0.0,5,6,0.833,15,8,5,2,1,21
31.731666666666666,4,9,0.444,1,1,1.0,2,3,0.667,7,3,2,0,3,11
36.53333333333333,13,23,0.565,2,3,0.667,2,5,0.4,13,5,3,1,1,30
30.621666666666666,11,16,0.688,1,2,0.5,0,0,0.0,10,5,4,0,1,23
34.29833333333333,8,18,0.444,2,5,0.4,5,7,0.714,8,4,6,1,0,23
34.7,9,18,0.5,0,2,0.0,5,6,0.833,8,5,3,1,2,23
33.641666666666666,11,15,0.733,0,2,0.0,2,5,0.4,8,3,4,2,1,24
25.05,8,10,0.8,0,0,0.0,3,4,0.75,7,4,1,0,0,19
25.616666666666667,7,13,0.538,0,2,0.0,3,4,0.75,8,12,1,1,0,17
34.266666666666666,7,13,0.538,1,3,0.333,0,0,0.0,9,6,2,2,0,15
27.161666666666665,9,12,0.75,1,1,1.0,0,1,0.0,7,4,1,1,0,19
33.195,7,15,0.467,1,2,0.5,4,4,1.0,5,7,0,0,0,19
40.763333333333335,11,18,0.611,1,3,0.333,2,6,0.333,14,7,6,2,1,25
28.466666666666665,6,11,0.545,0,1,0.0,2,4,0.5,8,6,1,0,0,14
