MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.15,4,9,0.444,2,4,0.5,0,0,0.0,2,1,1,0,0,10
23.406666666666666,4,7,0.571,1,4,0.25,2,3,0.667,1,2,4,0,0,11
27.983333333333334,7,13,0.538,1,4,0.25,1,2,0.5,1,1,1,0,0,16
29.9,2,8,0.25,2,3,0.667,2,2,1.0,1,2,2,0,0,8
26.518333333333334,4,14,0.286,0,5,0.0,5,5,1.0,5,1,1,1,0,13
30.983333333333334,6,13,0.462,2,5,0.4,2,2,1.0,4,2,1,0,0,16
40.565,9,21,0.429,6,11,0.545,0,0,0.0,1,2,2,4,0,24
30.68,2,6,0.333,0,2,0.0,0,1,0.0,4,1,0,1,0,4
29.15,3,6,0.5,1,3,0.333,3,4,0.75,4,2,3,0,0,10
20.883333333333333,3,7,0.429,1,1,1.0,3,5,0.6,2,2,0,2,1,10
24.7,2,6,0.333,1,3,0.333,0,0,0.0,4,1,2,0,0,5
27.566666666666666,3,6,0.5,1,3,0.333,2,2,1.0,6,1,1,0,0,9
38.358333333333334,9,14,0.643,2,4,0.5,6,6,1.0,9,1,1,1,0,26
38.495,7,9,0.778,3,3,1.0,3,4,0.75,3,5,7,5,0,20
34.01166666666666,4,10,0.4,2,5,0.4,2,2,1.0,4,2,0,0,0,12
39.1,7,13,0.538,1,2,0.5,2,2,1.0,2,2,2,1,0,17
26.133333333333333,5,7,0.714,4,6,0.667,0,0,0.0,4,2,2,1,0,14
