MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.795,4,7,0.571,0,3,0.0,2,2,1.0,9,3,3,2,3,10
32.108333333333334,6,14,0.429,2,7,0.286,1,2,0.5,7,2,0,0,1,15
36.6,7,11,0.636,2,5,0.4,0,0,0.0,9,2,1,0,1,16
37.96666666666667,6,9,0.667,2,3,0.667,2,2,1.0,15,1,2,1,1,16
27.008333333333333,6,10,0.6,3,4,0.75,3,4,0.75,9,2,0,0,1,18
32.333333333333336,7,12,0.583,1,5,0.2,2,2,1.0,9,2,2,1,2,17
31.591666666666665,5,10,0.5,2,6,0.333,2,2,1.0,5,1,3,1,0,14
32.71666666666667,4,12,0.333,1,4,0.25,0,0,0.0,7,0,0,1,1,9
20.06833333333333,4,7,0.571,0,2,0.0,0,0,0.0,7,0,1,0,1,8
23.133333333333333,2,8,0.25,1,4,0.25,1,1,1.0,7,2,2,0,0,6
26.016666666666666,4,8,0.5,2,4,0.5,2,2,1.0,6,0,2,1,0,12
21.833333333333332,5,8,0.625,3,5,0.6,0,0,0.0,4,0,0,0,1,13
34.50833333333333,9,15,0.6,3,6,0.5,0,0,0.0,11,0,0,0,1,21
30.1,7,10,0.7,3,5,0.6,0,0,0.0,6,4,2,0,1,17
34.13333333333333,6,12,0.5,2,6,0.333,0,0,0.0,8,5,1,2,0,14
37.166666666666664,5,16,0.313,2,8,0.25,1,4,0.25,9,0,2,1,0,13
26.166666666666668,3,9,0.333,0,4,0.0,1,2,0.5,5,1,1,1,0,7
