MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.2,4,15,0.267,1,6,0.167,1,2,0.5,7,2,6,0,0,10
34.22666666666667,8,12,0.667,5,8,0.625,5,6,0.833,6,9,2,0,1,26
33.50833333333333,5,14,0.357,2,6,0.333,0,0,0.0,3,5,2,0,1,12
35.96666666666667,10,18,0.556,3,8,0.375,2,3,0.667,5,2,3,3,0,25
29.676666666666666,13,26,0.5,3,13,0.231,5,5,1.0,2,4,1,1,0,34
23.416666666666668,6,15,0.4,2,9,0.222,2,2,1.0,3,2,1,0,0,16
31.45,3,10,0.3,2,5,0.4,1,3,0.333,6,3,4,0,1,9
33.44833333333333,5,16,0.313,1,6,0.167,9,10,0.9,4,5,4,0,1,20
34.748333333333335,1,13,0.077,1,4,0.25,6,6,1.0,8,5,0,1,0,9
34.73,7,18,0.389,2,8,0.25,9,10,0.9,4,1,1,0,0,25
21.466666666666665,11,15,0.733,5,6,0.833,1,4,0.25,7,3,1,1,0,28
25.6,5,9,0.556,3,5,0.6,10,12,0.833,2,2,3,1,1,23
35.525,4,10,0.4,0,2,0.0,2,7,0.286,2,5,3,0,0,10
30.883333333333333,6,16,0.375,4,8,0.5,7,7,1.0,4,3,1,2,0,23
38.071666666666665,8,20,0.4,1,5,0.2,4,5,0.8,9,1,4,0,1,21
37.81666666666667,10,20,0.5,2,6,0.333,0,0,0.0,5,4,2,0,0,22
29.816666666666666,2,10,0.2,0,1,0.0,6,7,0.857,1,0,4,1,1,10
