MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
19.416666666666668,4,4,1.0,0,0,0.0,0,0,0.0,11,3,1,0,3,8
15.25,3,5,0.6,0,0,0.0,3,3,1.0,6,2,1,0,1,9
17.885,1,3,0.333,0,0,0.0,0,0,0.0,12,3,3,0,4,2
16.81833333333333,3,5,0.6,0,0,0.0,0,0,0.0,7,1,0,0,0,6
11.15,1,3,0.333,0,1,0.0,0,0,0.0,6,2,0,0,2,2
14.866666666666667,3,3,1.0,0,0,0.0,0,0,0.0,4,1,0,1,2,6
17.3,5,5,1.0,0,0,0.0,0,0,0.0,3,1,1,3,0,10
15.466666666666667,1,2,0.5,0,0,0.0,0,0,0.0,3,1,1,0,1,2
16.25,3,4,0.75,0,0,0.0,0,0,0.0,5,1,0,1,1,6
13.041666666666666,1,1,1.0,0,0,0.0,0,0,0.0,5,2,1,1,0,2
