MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.533333333333335,5,12,0.417,2,7,0.286,2,2,1.0,0,1,3,2,0,14
27.033333333333335,8,14,0.571,4,10,0.4,5,5,1.0,4,4,2,0,0,25
26.233333333333334,7,13,0.538,4,7,0.571,1,1,1.0,1,3,0,1,0,19
27.35,10,19,0.526,4,10,0.4,0,0,0.0,4,1,2,1,0,24
26.916666666666668,6,15,0.4,2,8,0.25,4,5,0.8,4,4,2,1,0,18
24.683333333333334,5,12,0.417,1,2,0.5,1,2,0.5,3,4,1,2,1,12
33.21666666666667,5,12,0.417,4,9,0.444,0,0,0.0,7,4,1,0,0,14
34.65,8,16,0.5,6,11,0.545,7,9,0.778,3,4,1,1,0,29
11.916666666666666,2,6,0.333,0,2,0.0,0,0,0.0,2,2,1,0,0,4
16.85,7,10,0.7,3,3,1.0,0,0,0.0,2,1,0,0,0,17
35.86666666666667,7,17,0.412,3,8,0.375,1,2,0.5,6,5,3,3,0,18
27.816666666666666,6,10,0.6,1,3,0.333,1,1,1.0,1,0,2,1,0,14
39.65,7,13,0.538,3,7,0.429,8,11,0.727,3,2,1,0,0,25
35.25,9,17,0.529,1,6,0.167,4,5,0.8,5,3,2,2,0,23
