MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
12.133333333333333,0,2,0.0,0,2,0.0,0,0,0.0,0,1,0,0,0,0
19.266666666666666,3,6,0.5,1,3,0.333,0,0,0.0,1,4,0,3,0,7
13.766666666666667,1,2,0.5,1,2,0.5,0,0,0.0,2,1,3,0,1,3
13.75,1,3,0.333,1,3,0.333,0,0,0.0,2,2,0,0,0,3
16.066666666666666,2,5,0.4,1,3,0.333,0,0,0.0,0,2,0,1,0,5
16.268333333333334,2,4,0.5,1,2,0.5,1,2,0.5,0,3,0,0,0,6
18.116666666666667,2,4,0.5,1,2,0.5,0,0,0.0,1,1,4,0,0,5
21.241666666666667,3,4,0.75,2,3,0.667,0,0,0.0,3,5,0,0,0,8
14.266666666666667,1,4,0.25,1,3,0.333,0,0,0.0,0,1,0,0,0,3
21.633333333333333,4,9,0.444,3,8,0.375,0,0,0.0,3,1,3,0,0,11
19.533333333333335,5,9,0.556,4,6,0.667,3,4,0.75,1,4,0,0,0,17
24.001666666666665,4,8,0.5,4,8,0.5,0,0,0.0,1,2,2,0,0,12
15.833333333333334,2,4,0.5,2,3,0.667,0,0,0.0,0,0,0,1,0,6
15.316666666666666,2,3,0.667,2,2,1.0,0,0,0.0,1,1,0,1,0,6
14.716666666666667,3,6,0.5,2,4,0.5,0,0,0.0,3,2,0,0,0,8
16.133333333333333,3,5,0.6,2,4,0.5,0,0,0.0,0,0,0,0,0,8
10.933333333333334,0,1,0.0,0,1,0.0,0,0,0.0,1,1,0,0,1,0
