MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
31.266666666666666,4,13,0.308,2,4,0.5,3,4,0.75,3,4,2,0,0,13
35.81166666666667,12,14,0.857,3,3,1.0,6,6,1.0,8,6,5,1,0,33
17.166666666666668,2,6,0.333,0,1,0.0,0,0,0.0,2,3,3,0,0,4
32.96666666666667,3,7,0.429,1,2,0.5,0,0,0.0,6,4,2,0,0,7
31.55,6,15,0.4,2,5,0.4,5,6,0.833,5,7,1,0,0,19
29.4,3,12,0.25,0,3,0.0,2,2,1.0,8,1,1,0,0,8
32.06666666666667,5,8,0.625,1,2,0.5,5,6,0.833,5,3,3,2,0,16
36.8,3,11,0.273,1,3,0.333,1,2,0.5,8,6,2,1,0,8
27.7,4,11,0.364,1,1,1.0,0,0,0.0,3,5,3,0,0,9
33.925,6,9,0.667,2,3,0.667,2,2,1.0,5,3,3,0,2,16
29.7,6,11,0.545,1,1,1.0,1,2,0.5,7,5,6,3,0,14
29.233333333333334,7,12,0.583,2,4,0.5,0,0,0.0,6,5,0,0,0,16
20.65,3,9,0.333,0,1,0.0,0,0,0.0,3,1,2,0,0,6
28.81833333333333,2,8,0.25,0,1,0.0,0,0,0.0,4,5,3,3,0,4
26.395,7,13,0.538,0,0,0.0,0,0,0.0,5,9,1,0,1,14
30.25,3,8,0.375,0,1,0.0,2,3,0.667,7,5,0,0,0,8
22.483333333333334,0,2,0.0,0,2,0.0,0,0,0.0,4,3,4,1,1,0
26.403333333333332,5,9,0.556,0,1,0.0,4,4,1.0,5,4,2,2,0,14
28.691666666666666,4,12,0.333,2,4,0.5,3,6,0.5,8,5,3,1,0,13
