MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.2,4,7,0.571,1,3,0.333,2,2,1.0,7,3,2,1,0,11
32.53333333333333,8,15,0.533,2,3,0.667,4,5,0.8,11,3,2,1,0,22
30.783333333333335,3,7,0.429,0,2,0.0,4,5,0.8,1,2,0,0,0,10
34.06666666666667,8,13,0.615,3,7,0.429,3,5,0.6,12,4,3,2,0,22
36.03333333333333,5,13,0.385,2,8,0.25,3,3,1.0,3,6,0,0,1,15
31.65,9,16,0.563,2,8,0.25,2,4,0.5,10,5,1,1,0,22
33.43333333333333,8,14,0.571,4,7,0.571,2,3,0.667,3,1,0,0,0,22
35.855,7,16,0.438,5,9,0.556,2,2,1.0,9,7,3,1,1,21
36.93333333333333,8,18,0.444,3,10,0.3,1,1,1.0,12,6,1,1,1,20
33.25,2,10,0.2,0,3,0.0,2,4,0.5,5,1,1,0,0,6
33.06666666666667,4,9,0.444,1,4,0.25,0,2,0.0,7,8,3,0,0,9
23.1,6,12,0.5,0,0,0.0,4,5,0.8,3,3,1,0,0,16
37.69833333333333,11,18,0.611,2,4,0.5,2,2,1.0,6,3,0,2,0,26
35.016666666666666,3,11,0.273,1,6,0.167,0,0,0.0,7,6,0,2,1,7
32.666666666666664,10,20,0.5,4,9,0.444,3,4,0.75,3,4,0,2,0,27
24.3,1,9,0.111,1,5,0.2,2,2,1.0,5,1,0,1,0,5
35.233333333333334,8,14,0.571,3,7,0.429,1,2,0.5,4,4,3,0,1,20
31.741666666666667,7,15,0.467,1,3,0.333,2,3,0.667,9,7,3,0,0,17
