MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
21.533333333333335,4,7,0.571,2,3,0.667,0,0,0.0,2,0,3,0,0,10
17.433333333333334,1,5,0.2,0,2,0.0,0,0,0.0,3,3,3,0,1,2
24.783333333333335,6,11,0.545,3,5,0.6,0,0,0.0,2,3,0,1,0,15
18.833333333333332,3,9,0.333,0,5,0.0,0,0,0.0,0,1,1,1,0,6
21.233333333333334,0,6,0.0,0,3,0.0,0,0,0.0,1,1,0,0,0,0
20.616666666666667,4,6,0.667,2,3,0.667,0,0,0.0,0,1,2,0,0,10
18.35,2,6,0.333,0,3,0.0,0,0,0.0,1,3,2,0,0,4
27.9,4,10,0.4,0,3,0.0,2,2,1.0,0,5,0,0,0,10
25.716666666666665,5,13,0.385,0,4,0.0,1,2,0.5,2,0,3,1,0,11
20.483333333333334,4,7,0.571,4,5,0.8,1,1,1.0,1,7,1,0,0,13
16.183333333333334,3,11,0.273,0,4,0.0,0,0,0.0,2,1,0,2,0,6
23.566666666666666,6,9,0.667,2,2,1.0,0,0,0.0,0,1,1,0,0,14
28.45,3,6,0.5,0,2,0.0,2,2,1.0,0,2,0,0,0,8
25.366666666666667,8,9,0.889,0,0,0.0,0,0,0.0,6,2,1,0,0,16
20.083333333333332,1,7,0.143,1,6,0.167,0,0,0.0,1,3,0,0,1,3
21.033333333333335,3,12,0.25,2,4,0.5,1,1,1.0,1,2,2,1,0,9
14.083333333333334,4,7,0.571,1,1,1.0,0,0,0.0,2,4,1,0,0,9
17.75,3,7,0.429,0,3,0.0,1,1,1.0,2,2,1,1,0,7
