MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
22.683333333333334,4,9,0.444,2,4,0.5,0,0,0.0,3,3,2,0,0,10
24.261666666666667,1,5,0.2,1,3,0.333,0,1,0.0,2,7,2,0,0,3
22.34,4,8,0.5,0,1,0.0,2,2,1.0,4,6,1,0,0,10
16.95,3,5,0.6,1,1,1.0,0,0,0.0,5,2,1,2,0,7
19.916666666666668,2,7,0.286,0,2,0.0,0,0,0.0,2,1,1,3,0,4
22.95,4,10,0.4,1,3,0.333,2,2,1.0,2,5,3,0,0,11
21.366666666666667,1,4,0.25,0,1,0.0,0,1,0.0,0,3,1,0,0,2
25.8,4,8,0.5,0,1,0.0,0,0,0.0,4,4,2,1,1,8
25.216666666666665,6,11,0.545,0,2,0.0,0,1,0.0,1,5,0,1,1,12
18.783333333333335,1,5,0.2,0,2,0.0,2,2,1.0,1,8,1,0,0,4
32.016666666666666,3,10,0.3,0,2,0.0,0,0,0.0,3,6,4,0,1,6
28.433333333333334,3,8,0.375,2,4,0.5,4,4,1.0,5,10,1,1,0,12
23.75,3,4,0.75,0,1,0.0,4,4,1.0,2,3,0,1,1,10
20.033333333333335,1,4,0.25,1,2,0.5,2,2,1.0,2,4,4,1,0,5
32.935,3,8,0.375,0,3,0.0,0,0,0.0,6,8,0,2,0,6
25.1,5,7,0.714,2,3,0.667,4,4,1.0,5,6,1,0,0,16
