MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.295,9,16,0.563,1,5,0.2,2,2,1.0,12,2,2,2,4,21
24.933333333333334,7,17,0.412,2,5,0.4,6,7,0.857,11,2,3,6,4,22
35.15,8,18,0.444,1,6,0.167,5,5,1.0,9,4,6,1,2,22
32.78333333333333,7,13,0.538,1,2,0.5,7,7,1.0,15,3,2,1,3,22
26.55,4,12,0.333,0,4,0.0,1,1,1.0,3,4,1,0,2,9
31.116666666666667,6,17,0.353,2,6,0.333,5,6,0.833,13,4,2,1,8,19
30.466666666666665,12,26,0.462,2,8,0.25,1,1,1.0,9,0,4,2,0,27
28.348333333333333,4,15,0.267,0,3,0.0,0,0,0.0,14,2,5,0,2,8
34.4,8,22,0.364,2,9,0.222,0,0,0.0,11,7,7,1,1,18
34.9,12,21,0.571,3,7,0.429,2,4,0.5,9,4,3,1,4,29
30.183333333333334,4,14,0.286,0,4,0.0,6,6,1.0,9,2,3,0,1,14
21.283333333333335,3,12,0.25,2,5,0.4,5,6,0.833,10,0,2,1,2,13
37.9,7,16,0.438,2,7,0.286,4,5,0.8,9,4,2,1,5,20
34.35,15,26,0.577,3,6,0.5,5,6,0.833,10,2,2,1,2,38
28.216666666666665,6,12,0.5,2,6,0.333,4,5,0.8,8,1,5,0,4,18
26.266666666666666,4,10,0.4,0,2,0.0,3,6,0.5,5,2,5,1,1,11
30.983333333333334,7,19,0.368,0,6,0.0,7,8,0.875,12,1,4,3,3,21
23.308333333333334,6,9,0.667,3,5,0.6,0,1,0.0,5,2,5,2,1,15
