MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
24.083333333333332,3,11,0.273,1,5,0.2,5,6,0.833,5,3,3,2,1,12
33.665,3,5,0.6,1,2,0.5,4,4,1.0,2,7,3,0,0,11
20.65,4,9,0.444,1,4,0.25,0,0,0.0,4,3,4,1,0,9
30.5,2,12,0.167,0,7,0.0,2,2,1.0,8,6,3,0,0,6
28.325,6,13,0.462,2,5,0.4,2,2,1.0,9,3,1,0,1,16
27.631666666666668,4,11,0.364,1,5,0.2,3,4,0.75,3,0,3,2,0,12
26.2,4,8,0.5,1,3,0.333,7,8,0.875,7,6,3,0,0,16
33.91833333333334,10,14,0.714,3,5,0.6,5,6,0.833,8,5,3,3,1,28
31.016666666666666,6,11,0.545,1,4,0.25,0,0,0.0,8,1,4,0,0,13
33.21666666666667,6,14,0.429,1,4,0.25,5,6,0.833,5,2,3,0,1,18
24.016666666666666,5,6,0.833,1,2,0.5,0,0,0.0,2,5,1,0,1,11
24.5,4,6,0.667,1,2,0.5,2,2,1.0,7,3,2,0,3,11
19.666666666666668,6,8,0.75,1,2,0.5,1,3,0.333,5,2,2,0,0,14
38.245,8,17,0.471,1,6,0.167,4,6,0.667,11,5,1,0,1,21
34.821666666666665,7,10,0.7,3,3,1.0,2,2,1.0,8,4,3,0,0,19
27.45,6,11,0.545,1,3,0.333,1,1,1.0,5,4,2,1,3,14
24.833333333333332,4,11,0.364,1,4,0.25,0,0,0.0,6,4,5,0,0,9
38.928333333333335,4,12,0.333,0,7,0.0,1,3,0.333,6,8,4,4,0,9
31.925,6,10,0.6,0,4,0.0,2,2,1.0,5,3,3,1,2,14
