MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
37.12,9,21,0.429,3,8,0.375,13,13,1.0,10,7,2,1,0,34
32.5,2,12,0.167,0,4,0.0,4,4,1.0,5,5,2,0,0,8
37.833333333333336,10,25,0.4,1,4,0.25,7,8,0.875,5,11,2,0,2,28
33.36666666666667,15,21,0.714,3,4,0.75,7,9,0.778,5,4,5,4,1,40
31.483333333333334,5,15,0.333,2,3,0.667,13,14,0.929,8,10,3,1,0,25
33.43666666666667,9,20,0.45,0,3,0.0,10,10,1.0,3,6,1,1,1,28
40.093333333333334,8,21,0.381,2,7,0.286,8,8,1.0,5,8,3,0,1,26
31.866666666666667,7,15,0.467,2,3,0.667,8,10,0.8,4,15,1,0,0,24
25.833333333333332,12,22,0.545,2,7,0.286,5,5,1.0,4,5,2,0,0,31
35.233333333333334,10,19,0.526,5,7,0.714,6,6,1.0,9,13,5,0,0,31
36.96666666666667,13,21,0.619,3,8,0.375,3,3,1.0,6,8,6,1,0,32
