MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.666666666666664,1,4,0.25,1,2,0.5,6,6,1.0,2,4,2,1,0,9
37.015,5,9,0.556,1,4,0.25,2,2,1.0,9,3,0,1,0,13
36.583333333333336,5,9,0.556,2,4,0.5,2,3,0.667,2,3,1,0,1,14
33.61666666666667,1,4,0.25,1,4,0.25,6,8,0.75,3,3,2,1,0,9
35.083333333333336,4,5,0.8,0,1,0.0,0,0,0.0,6,5,1,2,0,8
43.11666666666667,5,8,0.625,3,6,0.5,1,2,0.5,4,3,2,1,1,14
29.873333333333335,3,8,0.375,2,4,0.5,2,2,1.0,1,1,0,0,0,10
27.866666666666667,5,9,0.556,3,5,0.6,1,1,1.0,3,2,2,0,1,14
31.901666666666667,2,8,0.25,1,3,0.333,2,2,1.0,6,1,2,1,1,7
31.678333333333335,4,8,0.5,1,4,0.25,0,0,0.0,9,4,2,1,0,9
36.95,9,16,0.563,8,13,0.615,0,0,0.0,8,4,1,1,2,26
29.55,6,12,0.5,1,3,0.333,1,1,1.0,4,2,4,0,0,14
27.066666666666666,3,7,0.429,2,5,0.4,0,0,0.0,3,2,1,0,0,8
33.25,6,10,0.6,4,5,0.8,0,0,0.0,2,4,2,0,0,16
37.06666666666667,5,9,0.556,5,7,0.714,4,4,1.0,7,3,2,0,1,19
30.636666666666667,6,10,0.6,3,7,0.429,2,2,1.0,4,3,3,2,0,17
34.7,2,6,0.333,2,4,0.5,0,0,0.0,6,4,0,0,0,6
20.921666666666667,0,6,0.0,0,5,0.0,0,0,0.0,4,2,1,0,0,0
