MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
19.296666666666667,2,6,0.333,1,3,0.333,2,2,1.0,4,1,1,0,0,7
20.098333333333333,1,3,0.333,0,1,0.0,0,0,0.0,6,0,0,0,0,2
22.956666666666667,4,8,0.5,1,3,0.333,0,0,0.0,6,4,2,0,0,9
28.716666666666665,6,10,0.6,2,3,0.667,0,0,0.0,7,5,0,1,1,14
20.25,6,8,0.75,1,3,0.333,1,1,1.0,5,2,1,1,0,14
10.983333333333333,0,0,0.0,0,0,0.0,0,0,0.0,3,3,1,1,0,0
14.371666666666666,1,6,0.167,1,4,0.25,0,0,0.0,2,4,0,1,0,3
16.3,1,1,1.0,1,1,1.0,0,0,0.0,3,3,0,1,1,3
29.151666666666667,4,10,0.4,3,7,0.429,0,0,0.0,5,3,1,1,1,11
16.948333333333334,2,5,0.4,2,3,0.667,0,0,0.0,2,0,0,0,0,6
20.983333333333334,2,7,0.286,2,4,0.5,2,2,1.0,7,3,2,1,1,8
15.633333333333333,2,10,0.2,1,6,0.167,1,2,0.5,3,0,0,2,2,6
14.883333333333333,3,7,0.429,0,2,0.0,0,0,0.0,4,0,1,1,0,6
24.973333333333333,2,9,0.222,2,5,0.4,6,6,1.0,5,5,2,1,0,12
29.966666666666665,6,15,0.4,1,5,0.2,1,3,0.333,6,2,1,2,0,14
14.183333333333334,1,4,0.25,0,1,0.0,0,0,0.0,4,3,2,1,0,2
