MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
25.923333333333332,1,2,0.5,0,1,0.0,1,6,0.167,7,1,1,3,1,3
25.701666666666668,5,9,0.556,1,5,0.2,2,2,1.0,4,0,2,1,2,13
23.56,2,4,0.5,0,0,0.0,6,6,1.0,7,2,0,0,0,10
16.983333333333334,0,5,0.0,0,3,0.0,3,4,0.75,4,2,2,1,0,3
27.933333333333334,2,9,0.222,1,4,0.25,0,1,0.0,7,3,0,1,0,5
27.2,4,5,0.8,1,2,0.5,3,4,0.75,2,0,1,1,1,12
13.03,0,0,0.0,0,0,0.0,2,2,1.0,3,1,1,1,0,2
13.641666666666667,1,2,0.5,1,2,0.5,0,0,0.0,3,0,1,3,0,3
12.718333333333334,0,1,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,1
18.716666666666665,4,5,0.8,3,3,1.0,1,2,0.5,0,1,0,0,0,12
21.371666666666666,0,3,0.0,0,2,0.0,8,8,1.0,2,1,1,0,1,8
12.656666666666666,0,4,0.0,0,4,0.0,2,2,1.0,6,1,0,0,0,2
18.388333333333332,3,6,0.5,0,2,0.0,1,2,0.5,2,0,0,1,0,7
28.9,3,6,0.5,0,1,0.0,4,5,0.8,7,2,2,2,0,10
26.008333333333333,2,7,0.286,0,2,0.0,0,0,0.0,1,2,1,2,1,4
12.15,0,2,0.0,0,1,0.0,0,0,0.0,1,0,0,2,0,0
30.063333333333333,3,10,0.3,1,4,0.25,4,5,0.8,2,2,2,0,2,11
23.238333333333333,2,4,0.5,0,2,0.0,3,3,1.0,1,0,0,0,0,7
32.5,3,5,0.6,2,4,0.5,2,2,1.0,8,3,1,0,1,10
31.636666666666667,7,9,0.778,1,1,1.0,2,2,1.0,5,1,2,1,0,17
