MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.483333333333334,6,18,0.333,0,3,0.0,2,2,1.0,9,3,3,2,1,14
32.95,13,22,0.591,2,6,0.333,3,5,0.6,6,2,6,0,1,31
29.745,8,12,0.667,1,1,1.0,2,2,1.0,14,6,2,0,2,19
32.87166666666667,4,9,0.444,0,2,0.0,0,0,0.0,10,4,1,0,4,8
32.53333333333333,2,5,0.4,0,2,0.0,2,4,0.5,11,6,2,2,2,6
17.28,4,8,0.5,0,1,0.0,1,2,0.5,5,0,0,0,0,9
29.216666666666665,7,11,0.636,2,4,0.5,2,2,1.0,12,0,3,1,4,18
34.858333333333334,7,11,0.636,0,0,0.0,4,4,1.0,12,2,2,1,2,18
23.033333333333335,4,7,0.571,0,1,0.0,7,7,1.0,7,4,4,1,0,15
24.033333333333335,1,3,0.333,1,1,1.0,0,0,0.0,5,4,0,0,0,3
25.516666666666666,1,6,0.167,0,3,0.0,1,2,0.5,8,1,2,1,2,3
32.66833333333334,4,8,0.5,2,3,0.667,4,7,0.571,9,7,2,1,0,14
38.06166666666667,8,16,0.5,0,2,0.0,4,6,0.667,17,8,6,2,0,20
27.675,1,4,0.25,0,1,0.0,4,6,0.667,4,7,2,2,3,6
22.783333333333335,4,14,0.286,1,6,0.167,2,4,0.5,9,5,0,1,1,11
18.566666666666666,2,5,0.4,1,3,0.333,2,2,1.0,3,2,2,1,0,7
30.026666666666667,4,10,0.4,2,5,0.4,2,2,1.0,12,4,0,1,2,12
22.8,3,8,0.375,0,2,0.0,4,6,0.667,7,6,2,2,1,10
28.033333333333335,1,5,0.2,0,2,0.0,2,2,1.0,9,3,4,3,0,4
27.861666666666668,5,8,0.625,1,2,0.5,3,3,1.0,14,3,1,0,1,14
