MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.903333333333336,10,14,0.714,2,3,0.667,5,7,0.714,2,5,2,1,1,27
36.19,8,25,0.32,1,3,0.333,13,13,1.0,4,11,1,1,3,30
35.516666666666666,11,30,0.367,2,8,0.25,6,6,1.0,4,6,1,1,0,30
34.223333333333336,7,14,0.5,3,4,0.75,15,15,1.0,8,2,6,0,2,32
37.24,13,21,0.619,2,2,1.0,3,3,1.0,4,9,3,0,1,31
46.31666666666667,14,27,0.519,4,9,0.444,7,7,1.0,8,10,7,2,2,39
33.39,15,22,0.682,6,8,0.75,2,2,1.0,9,9,1,0,0,38
35.36666666666667,11,15,0.733,2,2,1.0,7,7,1.0,6,6,2,0,1,31
36.235,7,18,0.389,3,5,0.6,11,11,1.0,9,4,3,1,2,28
38.6,13,27,0.481,4,6,0.667,8,10,0.8,9,5,4,0,0,38
42.333333333333336,7,16,0.438,2,5,0.4,9,9,1.0,7,9,6,2,1,25
34.583333333333336,14,27,0.519,1,3,0.333,12,12,1.0,4,5,3,1,2,41
36.15,9,20,0.45,1,4,0.25,12,14,0.857,8,3,5,1,2,31
36.63333333333333,10,15,0.667,3,5,0.6,5,9,0.556,6,1,3,0,2,28
37.31666666666667,12,19,0.632,1,3,0.333,1,2,0.5,2,7,5,2,0,26
29.416666666666668,8,11,0.727,1,4,0.25,9,9,1.0,4,7,2,1,1,26
39.38333333333333,14,28,0.5,1,5,0.2,10,13,0.769,11,2,8,1,1,39
36.78333333333333,7,22,0.318,1,2,0.5,3,5,0.6,11,3,2,0,1,18
