MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.663333333333334,1,5,0.2,0,2,0.0,2,2,1.0,2,2,1,0,0,4
18.666666666666668,1,1,1.0,0,0,0.0,0,0,0.0,2,0,0,0,1,2
20.045,4,9,0.444,3,6,0.5,0,0,0.0,2,0,1,0,2,11
15.766666666666667,0,1,0.0,0,1,0.0,2,2,1.0,4,0,1,1,0,2
26.566666666666666,4,9,0.444,0,3,0.0,2,2,1.0,5,3,0,2,0,10
22.176666666666666,4,6,0.667,1,3,0.333,4,4,1.0,5,0,0,1,1,13
19.95,4,7,0.571,2,5,0.4,0,2,0.0,3,2,0,0,3,10
10.96,2,3,0.667,1,2,0.5,0,0,0.0,1,1,0,0,0,5
17.916666666666668,2,3,0.667,2,2,1.0,0,0,0.0,2,1,1,2,0,6
20.65,3,8,0.375,0,5,0.0,0,0,0.0,1,0,0,1,0,6
13.183333333333334,0,2,0.0,0,2,0.0,2,2,1.0,2,0,1,1,1,2
