MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
15.323333333333334,1,2,0.5,1,2,0.5,1,2,0.5,2,0,2,1,0,4
15.913333333333334,0,5,0.0,0,3,0.0,1,2,0.5,1,0,1,1,2,1
14.87,2,4,0.5,2,4,0.5,1,2,0.5,0,0,0,0,0,7
10.003333333333334,1,3,0.333,1,2,0.5,0,0,0.0,2,0,0,0,0,3
22.683333333333334,1,6,0.167,1,4,0.25,0,0,0.0,2,3,0,0,1,3
17.226666666666667,2,2,1.0,2,2,1.0,0,0,0.0,0,2,0,0,0,6
14.403333333333334,1,4,0.25,1,3,0.333,0,0,0.0,1,0,0,0,0,3
17.9,2,5,0.4,2,5,0.4,0,0,0.0,5,0,3,0,1,6
20.225,2,4,0.5,1,3,0.333,1,1,1.0,1,0,2,0,0,6
22.175,1,4,0.25,1,4,0.25,2,2,1.0,5,0,1,1,0,5
26.016666666666666,1,5,0.2,0,4,0.0,1,2,0.5,4,1,0,0,0,3
19.426666666666666,4,8,0.5,3,7,0.429,0,0,0.0,3,2,2,1,0,11
20.545,2,7,0.286,1,4,0.25,2,2,1.0,4,0,0,2,1,7
14.833333333333334,1,2,0.5,1,1,1.0,0,0,0.0,1,0,1,0,0,3
17.88,3,5,0.6,2,4,0.5,0,0,0.0,4,0,1,0,1,8
