MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
12.546666666666667,2,2,1.0,1,1,1.0,1,2,0.5,5,2,0,0,0,6
16.481666666666666,3,4,0.75,2,2,1.0,0,0,0.0,3,1,0,0,0,8
20.188333333333333,2,4,0.5,1,3,0.333,2,4,0.5,3,1,0,0,0,7
10.761666666666667,2,2,1.0,0,0,0.0,2,2,1.0,4,1,1,0,0,6
16.14666666666667,4,7,0.571,2,3,0.667,3,3,1.0,5,1,2,3,0,13
11.083333333333334,2,3,0.667,0,1,0.0,1,2,0.5,2,1,0,0,0,5
12.483333333333333,1,4,0.25,0,0,0.0,0,0,0.0,2,1,0,1,0,2
16.765,3,6,0.5,1,3,0.333,0,0,0.0,2,0,0,1,0,7
13.843333333333334,4,5,0.8,0,1,0.0,2,2,1.0,4,2,2,0,0,10
10.133333333333333,2,3,0.667,0,1,0.0,1,2,0.5,0,0,0,0,0,5
11.49,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0
10.8,1,3,0.333,0,1,0.0,0,0,0.0,3,0,1,0,0,2
