MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
20.283333333333335,6,12,0.5,2,7,0.286,1,2,0.5,6,0,0,0,0,15
21.97833333333333,4,7,0.571,2,4,0.5,0,0,0.0,3,1,1,0,1,10
16.666666666666668,3,4,0.75,3,3,1.0,1,2,0.5,0,0,0,1,0,10
13.62,0,2,0.0,0,0,0.0,0,0,0.0,1,1,0,0,0,0
23.633333333333333,2,3,0.667,1,2,0.5,0,0,0.0,3,0,1,0,1,5
20.833333333333332,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,1,0,2
28.05666666666667,1,3,0.333,0,2,0.0,1,1,1.0,1,2,0,0,0,3
25.583333333333332,4,7,0.571,2,2,1.0,0,0,0.0,2,4,0,1,0,10
21.145,4,5,0.8,1,1,1.0,0,0,0.0,5,3,1,2,2,9
16.613333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0
23.86,3,7,0.429,2,5,0.4,0,0,0.0,3,2,0,0,1,8
23.808333333333334,5,7,0.714,2,3,0.667,2,2,1.0,3,2,2,0,0,14
24.116666666666667,3,6,0.5,0,3,0.0,0,0,0.0,2,4,1,4,0,6
36.31666666666667,6,10,0.6,1,2,0.5,0,0,0.0,2,1,1,0,0,13
18.165,1,2,0.5,0,0,0.0,2,2,1.0,2,1,0,0,0,4
21.883333333333333,1,2,0.5,0,1,0.0,2,2,1.0,4,2,1,0,0,4
21.933333333333334,3,3,1.0,1,1,1.0,0,0,0.0,3,1,0,1,1,7
18.815,3,4,0.75,1,1,1.0,2,2,1.0,2,0,0,0,0,9
19.033333333333335,5,5,1.0,3,3,1.0,0,0,0.0,2,1,1,0,1,13
