MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
30.316666666666666,4,10,0.4,0,3,0.0,3,4,0.75,11,3,2,1,4,11
28.276666666666667,8,15,0.533,1,6,0.167,1,1,1.0,5,1,2,2,0,18
33.83166666666666,6,20,0.3,3,8,0.375,1,2,0.5,8,6,0,1,1,16
31.516666666666666,13,21,0.619,5,11,0.455,2,2,1.0,6,2,1,0,3,33
31.783333333333335,5,11,0.455,0,3,0.0,8,11,0.727,13,2,2,1,4,18
20.05,6,6,1.0,2,2,1.0,2,2,1.0,6,0,0,0,2,16
36.958333333333336,14,22,0.636,2,5,0.4,6,7,0.857,10,5,4,2,2,36
27.1,4,7,0.571,0,2,0.0,5,5,1.0,10,2,4,0,2,13
29.65,3,10,0.3,1,5,0.2,2,2,1.0,7,3,2,2,1,9
33.12,5,10,0.5,3,6,0.5,5,5,1.0,6,4,0,0,2,18
29.6,5,12,0.417,0,3,0.0,2,3,0.667,7,1,4,1,1,12
29.281666666666666,7,10,0.7,1,1,1.0,0,0,0.0,7,2,2,1,3,15
33.875,4,14,0.286,1,3,0.333,7,7,1.0,12,3,1,1,3,16
31.985,7,9,0.778,2,2,1.0,8,8,1.0,8,5,2,1,1,24
37.266666666666666,8,14,0.571,1,5,0.2,2,2,1.0,11,3,5,1,2,19
24.035,4,5,0.8,4,5,0.8,2,2,1.0,4,3,3,2,4,14
25.566666666666666,7,12,0.583,1,4,0.25,4,4,1.0,4,0,1,0,0,19
30.85,5,9,0.556,3,4,0.75,3,4,0.75,13,2,1,1,7,16
25.116666666666667,4,7,0.571,2,3,0.667,1,3,0.333,4,3,1,1,0,11
