MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.6,9,19,0.474,3,5,0.6,2,2,1.0,5,5,1,1,0,23
29.055,8,13,0.615,1,4,0.25,4,5,0.8,5,7,0,0,1,21
34.11666666666667,2,10,0.2,0,3,0.0,6,7,0.857,3,3,1,0,1,10
41.016666666666666,8,16,0.5,0,2,0.0,6,6,1.0,6,3,1,1,0,22
29.061666666666667,6,13,0.462,2,3,0.667,2,2,1.0,3,5,2,2,0,16
23.205,5,9,0.556,1,3,0.333,0,0,0.0,2,3,3,0,0,11
37.766666666666666,11,16,0.688,3,4,0.75,6,8,0.75,1,1,1,2,0,31
31.491666666666667,6,14,0.429,0,3,0.0,2,2,1.0,5,2,3,1,0,14
32.695,5,10,0.5,1,1,1.0,4,4,1.0,4,2,1,1,0,15
36.108333333333334,8,13,0.615,2,5,0.4,3,3,1.0,3,2,2,0,1,21
35.31666666666667,8,12,0.667,0,0,0.0,2,5,0.4,3,8,6,1,0,18
38.083333333333336,5,13,0.385,0,3,0.0,8,9,0.889,8,3,1,0,0,18
31.47833333333333,8,14,0.571,1,3,0.333,2,2,1.0,7,6,2,1,1,19
27.766666666666666,6,9,0.667,0,1,0.0,1,1,1.0,3,5,0,0,1,13
35.08166666666666,4,14,0.286,2,4,0.5,4,4,1.0,5,2,4,1,0,14
31.8,5,11,0.455,2,6,0.333,4,4,1.0,3,5,2,1,0,16
