MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.593333333333334,4,6,0.667,4,5,0.8,2,2,1.0,3,0,1,0,0,14
11.076666666666666,1,6,0.167,1,3,0.333,0,0,0.0,5,3,1,0,0,3
25.83,3,9,0.333,2,5,0.4,0,0,0.0,6,5,0,0,0,8
14.533333333333333,0,2,0.0,0,1,0.0,0,0,0.0,4,0,0,0,0,0
17.816666666666666,3,5,0.6,0,1,0.0,0,0,0.0,7,3,1,1,0,6
18.35,1,7,0.143,1,4,0.25,0,0,0.0,4,2,0,2,0,3
12.666666666666666,1,3,0.333,1,3,0.333,0,0,0.0,4,0,1,0,1,3
18.4,0,2,0.0,0,2,0.0,1,2,0.5,4,2,0,1,0,1
10.066666666666666,2,2,1.0,2,2,1.0,0,0,0.0,3,0,1,0,0,6
12.625,2,4,0.5,0,1,0.0,2,2,1.0,2,2,0,1,1,6
15.185,2,5,0.4,0,3,0.0,2,2,1.0,5,3,1,0,0,6
