MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
16.6,4,13,0.308,2,6,0.333,0,0,0.0,3,1,2,0,0,10
20.97833333333333,5,10,0.5,2,5,0.4,2,2,1.0,8,1,4,1,0,14
28.153333333333332,4,8,0.5,0,1,0.0,2,4,0.5,6,1,2,0,0,10
25.60333333333333,4,12,0.333,0,1,0.0,2,2,1.0,7,8,1,0,0,10
28.991666666666667,4,13,0.308,1,3,0.333,1,2,0.5,6,2,2,2,0,10
22.6,3,6,0.5,0,0,0.0,0,0,0.0,4,5,4,1,0,6
22.36,4,10,0.4,1,2,0.5,2,2,1.0,5,2,0,1,2,11
26.116666666666667,8,14,0.571,3,3,1.0,0,0,0.0,6,1,3,2,0,19
24.683333333333334,7,11,0.636,0,2,0.0,4,5,0.8,7,7,3,0,2,18
31.95,5,12,0.417,0,1,0.0,0,0,0.0,6,10,4,2,2,10
26.565,6,10,0.6,0,1,0.0,1,1,1.0,4,5,4,0,0,13
25.126666666666665,4,11,0.364,0,2,0.0,0,0,0.0,5,6,1,2,1,8
27.475,4,13,0.308,0,0,0.0,0,0,0.0,7,4,4,0,0,8
30.566666666666666,8,15,0.533,0,3,0.0,2,2,1.0,5,4,6,0,0,18
31.27,6,16,0.375,1,4,0.25,2,2,1.0,9,4,2,1,1,15
28.4,9,18,0.5,0,2,0.0,3,5,0.6,7,3,1,1,1,21
21.916666666666668,4,13,0.308,1,2,0.5,0,0,0.0,2,3,2,1,0,9
28.418333333333333,1,8,0.125,0,1,0.0,0,0,0.0,6,6,3,0,0,2
31.783333333333335,7,14,0.5,2,3,0.667,0,0,0.0,6,6,3,0,0,16
