MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.53333333333333,4,13,0.308,1,6,0.167,1,2,0.5,5,3,2,0,0,10
28.088333333333335,5,9,0.556,2,5,0.4,0,0,0.0,7,3,0,2,1,12
25.08,1,5,0.2,1,2,0.5,0,0,0.0,3,1,1,0,0,3
24.538333333333334,2,5,0.4,1,3,0.333,0,1,0.0,2,0,1,0,0,5
27.283333333333335,1,6,0.167,0,4,0.0,0,0,0.0,2,2,2,0,2,2
22.533333333333335,4,6,0.667,2,3,0.667,2,2,1.0,0,1,0,0,0,12
26.9,1,6,0.167,1,4,0.25,0,0,0.0,6,2,0,0,0,3
23.933333333333334,2,5,0.4,1,3,0.333,0,0,0.0,2,0,1,1,0,5
23.648333333333333,2,6,0.333,1,3,0.333,1,2,0.5,3,0,0,1,1,6
33.03,3,10,0.3,0,5,0.0,3,4,0.75,6,1,0,2,1,9
25.333333333333332,2,5,0.4,2,3,0.667,2,2,1.0,6,2,2,3,1,8
35.645,3,9,0.333,3,5,0.6,5,6,0.833,4,3,3,2,3,14
31.616666666666667,6,10,0.6,2,5,0.4,5,5,1.0,9,3,2,0,2,19
30.2,9,12,0.75,6,6,1.0,5,7,0.714,5,0,1,0,0,29
29.503333333333334,3,7,0.429,3,6,0.5,0,0,0.0,2,0,1,1,0,9
25.988333333333333,3,7,0.429,1,4,0.25,0,0,0.0,2,0,0,2,1,7
20.716666666666665,3,7,0.429,1,5,0.2,3,3,1.0,1,0,0,1,1,10
38.821666666666665,9,13,0.692,3,4,0.75,4,6,0.667,6,2,1,1,1,25
32.596666666666664,3,8,0.375,2,5,0.4,0,0,0.0,7,2,2,2,1,8
