MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
38.55,6,13,0.462,2,3,0.667,3,4,0.75,3,9,2,5,1,17
34.93333333333333,11,18,0.611,1,4,0.25,10,10,1.0,4,7,0,1,0,33
33.983333333333334,13,22,0.591,0,1,0.0,6,6,1.0,4,4,3,3,2,32
36.18333333333333,10,21,0.476,1,2,0.5,10,10,1.0,6,5,1,2,0,31
36.71666666666667,11,19,0.579,1,3,0.333,17,18,0.944,5,12,2,1,3,40
22.516666666666666,10,13,0.769,1,1,1.0,7,7,1.0,3,4,3,1,0,28
40.68333333333333,18,29,0.621,2,3,0.667,2,2,1.0,7,6,3,2,2,40
29.255,6,21,0.286,3,7,0.429,9,9,1.0,2,7,2,3,1,24
28.066666666666666,10,16,0.625,1,4,0.25,7,7,1.0,6,5,2,7,0,28
36.833333333333336,13,22,0.591,2,5,0.4,7,8,0.875,7,4,1,1,1,35
37.68333333333333,14,25,0.56,0,2,0.0,5,6,0.833,7,5,2,2,2,33
37.6,15,22,0.682,1,2,0.5,12,13,0.923,7,6,3,2,1,43
37.45,11,20,0.55,3,7,0.429,5,6,0.833,8,6,2,1,0,30
38.083333333333336,8,20,0.4,0,5,0.0,4,5,0.8,5,8,2,3,0,20
32.86666666666667,11,23,0.478,1,3,0.333,9,9,1.0,9,4,5,3,0,32
28.316666666666666,2,16,0.125,0,4,0.0,3,4,0.75,4,7,0,1,0,7
35.95,15,26,0.577,2,2,1.0,2,2,1.0,11,4,5,5,1,34
36.016666666666666,12,18,0.667,2,5,0.4,5,5,1.0,5,10,1,1,2,31
