MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
28.008333333333333,7,16,0.438,3,6,0.5,4,6,0.667,5,1,2,0,1,21
33.983333333333334,8,14,0.571,1,4,0.25,7,7,1.0,5,7,2,0,1,24
39.54,8,21,0.381,2,9,0.222,17,18,0.944,7,5,4,2,2,35
35.8,11,22,0.5,5,9,0.556,4,4,1.0,6,6,2,2,0,31
39.13333333333333,9,21,0.429,1,6,0.167,4,4,1.0,10,5,3,2,0,23
30.133333333333333,9,19,0.474,5,10,0.5,0,0,0.0,3,4,3,0,0,23
30.516666666666666,4,16,0.25,1,3,0.333,4,4,1.0,4,4,1,1,1,13
36.3,7,16,0.438,3,6,0.5,3,5,0.6,4,4,5,3,0,20
37.775,11,27,0.407,1,9,0.111,10,10,1.0,6,7,4,2,0,33
37.12166666666667,9,21,0.429,2,8,0.25,8,11,0.727,7,5,4,2,1,28
33.06666666666667,10,22,0.455,2,8,0.25,4,5,0.8,3,8,3,3,2,26
38.13333333333333,15,25,0.6,2,8,0.25,6,7,0.857,9,7,3,1,0,38
35.733333333333334,13,19,0.684,2,4,0.5,3,5,0.6,8,6,6,1,0,31
31.833333333333332,8,16,0.5,1,4,0.25,7,8,0.875,2,1,4,2,0,24
37.781666666666666,13,21,0.619,5,8,0.625,0,1,0.0,5,7,5,1,0,31
33.36666666666667,7,15,0.467,3,5,0.6,2,2,1.0,2,7,2,0,0,19
38.3,8,27,0.296,4,7,0.571,6,6,1.0,14,1,2,0,0,26
