MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.02333333333333,12,23,0.522,4,8,0.5,0,0,0.0,7,5,3,0,0,28
36.50666666666667,12,22,0.545,4,7,0.571,4,5,0.8,11,4,4,2,1,32
31.825,2,8,0.25,1,3,0.333,8,8,1.0,10,3,6,0,0,13
25.946666666666665,7,11,0.636,1,3,0.333,3,3,1.0,8,2,4,1,1,18
38.28333333333333,9,15,0.6,4,5,0.8,5,5,1.0,11,4,4,0,0,27
36.15,9,19,0.474,1,2,0.5,4,5,0.8,11,3,4,2,2,23
35.75,6,10,0.6,2,3,0.667,6,7,0.857,5,4,3,3,2,20
33.22666666666667,10,11,0.909,2,2,1.0,7,8,0.875,6,9,0,0,2,29
31.116666666666667,10,17,0.588,0,4,0.0,5,5,1.0,7,2,1,0,0,25
41.69,12,26,0.462,5,12,0.417,4,4,1.0,11,2,5,2,0,33
37.35333333333333,8,14,0.571,2,3,0.667,3,3,1.0,14,3,1,2,1,21
34.28333333333333,11,21,0.524,3,7,0.429,4,4,1.0,12,2,3,0,0,29
27.733333333333334,9,12,0.75,4,5,0.8,1,2,0.5,3,0,3,0,1,23
27.77166666666667,3,10,0.3,1,7,0.143,0,0,0.0,10,3,7,0,0,7
32.055,7,14,0.5,2,6,0.333,9,10,0.9,7,1,2,2,0,25
30.833333333333332,7,19,0.368,1,4,0.25,6,6,1.0,8,4,1,2,0,21
36.18333333333333,7,17,0.412,1,3,0.333,1,1,1.0,10,3,0,1,0,16
31.0,5,12,0.417,1,4,0.25,1,2,0.5,10,2,1,1,0,12
35.96666666666667,8,25,0.32,2,10,0.2,1,1,1.0,10,3,4,0,4,19
