MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.815,2,5,0.4,0,2,0.0,2,2,1.0,2,2,1,0,0,6
36.4,8,16,0.5,4,8,0.5,0,0,0.0,5,7,4,5,2,20
26.0,1,7,0.143,1,5,0.2,0,0,0.0,2,1,2,0,0,3
34.25,3,7,0.429,2,6,0.333,1,3,0.333,1,3,1,1,0,9
22.071666666666665,2,8,0.25,2,7,0.286,0,0,0.0,1,2,0,2,1,6
28.733333333333334,3,6,0.5,1,4,0.25,0,0,0.0,6,4,0,0,1,7
33.083333333333336,4,8,0.5,3,6,0.5,0,0,0.0,3,3,0,0,0,11
17.62,4,7,0.571,2,4,0.5,0,0,0.0,1,3,2,1,1,10
22.683333333333334,3,6,0.5,2,5,0.4,0,0,0.0,0,0,0,0,1,8
25.326666666666668,2,5,0.4,1,4,0.25,0,0,0.0,0,1,2,1,1,5
17.216666666666665,4,6,0.667,2,3,0.667,0,0,0.0,2,1,0,2,0,10
18.733333333333334,3,4,0.75,1,1,1.0,2,2,1.0,3,4,0,0,1,9
18.1,0,1,0.0,0,1,0.0,0,0,0.0,4,8,2,1,0,0
19.766666666666666,3,6,0.5,2,4,0.5,0,1,0.0,1,3,1,1,0,8
17.5,0,3,0.0,0,1,0.0,0,1,0.0,3,1,0,2,3,0
20.716666666666665,2,6,0.333,1,2,0.5,0,0,0.0,0,1,0,0,1,5
13.35,1,3,0.333,1,3,0.333,0,2,0.0,0,2,1,0,0,3
22.783333333333335,2,8,0.25,1,6,0.167,0,0,0.0,3,3,3,1,2,5
22.625,1,5,0.2,0,3,0.0,0,0,0.0,4,2,1,1,0,2
