MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.916666666666664,11,18,0.611,2,5,0.4,5,6,0.833,10,3,3,0,0,29
24.666666666666668,4,10,0.4,2,4,0.5,0,0,0.0,4,0,3,0,0,10
25.3,4,11,0.364,0,3,0.0,3,4,0.75,4,1,2,0,1,11
30.0,3,10,0.3,2,3,0.667,4,4,1.0,7,1,0,0,0,12
34.656666666666666,12,19,0.632,5,8,0.625,2,4,0.5,0,3,0,1,1,31
26.266666666666666,6,13,0.462,0,4,0.0,0,0,0.0,6,2,5,0,0,12
27.616666666666667,4,15,0.267,1,7,0.143,0,0,0.0,7,0,4,3,1,9
25.433333333333334,3,7,0.429,0,2,0.0,0,2,0.0,4,2,1,1,0,6
29.133333333333333,6,12,0.5,1,4,0.25,0,2,0.0,5,3,3,0,0,13
28.6,4,13,0.308,0,3,0.0,3,4,0.75,5,0,1,0,0,11
21.566666666666666,2,9,0.222,0,2,0.0,0,2,0.0,6,1,2,1,1,4
26.15,3,9,0.333,1,2,0.5,1,4,0.25,5,1,0,0,0,8
26.533333333333335,6,11,0.545,0,1,0.0,5,8,0.625,5,1,0,0,0,17
25.303333333333335,6,10,0.6,0,1,0.0,2,2,1.0,2,0,1,0,0,14
20.45,4,8,0.5,1,2,0.5,0,2,0.0,3,0,3,0,0,9
28.2,4,10,0.4,1,3,0.333,4,5,0.8,0,0,2,0,0,13
26.916666666666668,5,13,0.385,0,3,0.0,1,2,0.5,5,3,2,0,2,11
27.283333333333335,4,12,0.333,0,3,0.0,2,3,0.667,1,0,0,0,1,10
