MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.516666666666666,5,9,0.556,2,3,0.667,0,0,0.0,6,3,1,1,2,12
31.25,5,10,0.5,2,4,0.5,1,2,0.5,8,2,0,0,0,13
11.766666666666667,0,5,0.0,0,2,0.0,0,0,0.0,3,2,1,0,0,0
23.436666666666667,4,9,0.444,1,3,0.333,1,2,0.5,4,2,0,3,0,10
17.95,1,2,0.5,1,2,0.5,0,0,0.0,5,3,0,0,0,3
25.033333333333335,2,6,0.333,1,4,0.25,3,4,0.75,3,3,3,0,0,8
25.0,4,7,0.571,3,4,0.75,2,2,1.0,8,3,1,0,0,13
38.95,9,18,0.5,3,8,0.375,2,2,1.0,7,5,3,1,0,23
11.233333333333333,2,3,0.667,0,0,0.0,1,1,1.0,3,2,0,0,0,5
22.8,2,5,0.4,0,1,0.0,1,2,0.5,8,2,2,0,0,5
