MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
28.966666666666665,2,6,0.333,1,3,0.333,0,0,0.0,5,10,1,0,0,5
16.713333333333335,1,2,0.5,0,1,0.0,4,4,1.0,2,6,1,0,0,6
34.233333333333334,4,7,0.571,3,5,0.6,4,4,1.0,6,12,1,2,0,15
37.57666666666667,4,9,0.444,4,7,0.571,0,0,0.0,4,11,0,3,0,12
27.55,4,8,0.5,4,6,0.667,3,3,1.0,3,8,1,1,0,15
36.0,6,14,0.429,2,3,0.667,1,1,1.0,5,4,4,3,1,15
21.723333333333333,0,3,0.0,0,2,0.0,2,2,1.0,1,5,2,0,0,2
26.416666666666668,4,7,0.571,1,2,0.5,0,0,0.0,3,9,3,3,0,9
26.9,4,10,0.4,1,4,0.25,0,0,0.0,5,4,1,1,0,9
21.411666666666665,6,9,0.667,2,3,0.667,3,3,1.0,5,6,0,0,0,17
24.6,2,10,0.2,1,5,0.2,0,0,0.0,1,2,0,2,0,5
27.785,0,6,0.0,0,2,0.0,1,2,0.5,2,13,0,2,0,1
28.263333333333332,1,5,0.2,0,3,0.0,0,0,0.0,4,8,0,0,0,2
25.216666666666665,6,10,0.6,1,5,0.2,0,0,0.0,6,5,1,2,0,13
27.416666666666668,3,8,0.375,0,3,0.0,2,2,1.0,5,7,1,1,0,8
33.166666666666664,5,12,0.417,0,2,0.0,0,0,0.0,2,12,3,3,0,10
34.21666666666667,4,15,0.267,0,6,0.0,6,7,0.857,6,9,1,2,0,14
