MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
19.8,3,7,0.429,0,2,0.0,0,0,0.0,2,3,3,1,0,6
26.736666666666668,4,7,0.571,2,4,0.5,3,4,0.75,5,5,0,1,0,13
17.116666666666667,3,7,0.429,2,4,0.5,2,2,1.0,2,3,0,0,0,10
26.296666666666667,7,11,0.636,4,7,0.571,2,2,1.0,7,4,3,2,0,20
22.153333333333332,6,9,0.667,2,3,0.667,3,5,0.6,6,4,1,2,0,17
26.165,5,10,0.5,3,7,0.429,5,6,0.833,5,2,1,1,1,18
18.366666666666667,3,9,0.333,0,2,0.0,0,0,0.0,8,1,1,0,0,6
24.066666666666666,4,10,0.4,2,3,0.667,2,2,1.0,3,4,1,1,0,12
32.20666666666666,6,15,0.4,3,11,0.273,6,6,1.0,4,4,2,2,0,21
27.266666666666666,5,10,0.5,1,4,0.25,0,0,0.0,10,1,1,1,0,11
16.433333333333334,2,5,0.4,0,3,0.0,1,1,1.0,5,1,0,0,1,5
26.233333333333334,2,5,0.4,0,3,0.0,0,0,0.0,8,2,0,0,0,4
20.9,4,8,0.5,2,5,0.4,2,2,1.0,6,1,0,1,0,12
13.418333333333333,0,3,0.0,0,1,0.0,0,0,0.0,5,0,1,0,0,0
19.815,6,9,0.667,4,7,0.571,4,4,1.0,6,3,1,1,0,20
19.733333333333334,6,9,0.667,3,5,0.6,0,0,0.0,6,2,4,0,0,15
20.583333333333332,2,7,0.286,1,4,0.25,1,2,0.5,10,2,0,0,1,6
21.166666666666668,1,6,0.167,1,3,0.333,1,2,0.5,8,5,1,0,1,4
14.283333333333333,2,5,0.4,1,4,0.25,0,0,0.0,4,1,1,1,0,5
20.033333333333335,3,11,0.273,1,3,0.333,0,0,0.0,7,1,0,0,2,7
