MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.31666666666667,8,15,0.533,4,8,0.5,1,2,0.5,9,4,3,0,1,21
28.963333333333335,4,8,0.5,2,4,0.5,3,4,0.75,5,5,2,0,0,13
33.21666666666667,3,8,0.375,2,4,0.5,0,0,0.0,6,3,4,0,2,8
24.383333333333333,3,7,0.429,1,3,0.333,2,2,1.0,9,7,2,1,0,9
17.983333333333334,3,4,0.75,2,3,0.667,0,0,0.0,5,4,1,0,0,8
27.561666666666667,2,4,0.5,0,1,0.0,2,2,1.0,9,8,1,0,0,6
29.366666666666667,5,11,0.455,2,3,0.667,6,6,1.0,3,8,1,3,1,18
28.971666666666668,5,11,0.455,2,4,0.5,3,3,1.0,5,3,3,0,1,15
27.513333333333332,4,7,0.571,2,4,0.5,3,4,0.75,2,9,2,2,2,13
21.566666666666666,3,8,0.375,0,2,0.0,0,0,0.0,6,7,1,0,1,6
20.716666666666665,2,4,0.5,0,0,0.0,0,1,0.0,5,5,4,0,0,4
