MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
16.52166666666667,3,4,0.75,0,1,0.0,1,1,1.0,5,1,1,2,1,7
18.5,2,3,0.667,0,1,0.0,0,0,0.0,3,0,2,1,1,4
15.66,3,5,0.6,1,3,0.333,0,0,0.0,3,2,0,0,0,7
13.511666666666667,2,2,1.0,0,0,0.0,0,0,0.0,4,2,1,0,0,4
11.181666666666667,1,4,0.25,0,1,0.0,1,2,0.5,5,0,1,0,0,3
23.6,3,5,0.6,0,0,0.0,0,0,0.0,6,0,0,2,0,6
12.443333333333333,2,7,0.286,1,3,0.333,0,0,0.0,2,1,0,0,0,5
22.08,4,6,0.667,1,3,0.333,0,0,0.0,3,1,1,2,0,9
21.9,2,4,0.5,0,0,0.0,0,0,0.0,2,1,1,1,0,4
20.15,4,10,0.4,2,6,0.333,0,0,0.0,4,1,0,1,1,10
18.721666666666668,6,8,0.75,3,4,0.75,0,0,0.0,4,1,0,3,1,15
18.026666666666667,2,4,0.5,1,3,0.333,2,2,1.0,0,1,2,1,0,7
21.668333333333333,0,5,0.0,0,2,0.0,1,2,0.5,2,2,0,3,0,1
