MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
15.683333333333334,2,6,0.333,1,3,0.333,1,2,0.5,2,0,1,0,0,6
23.316666666666666,6,8,0.75,3,5,0.6,2,4,0.5,6,3,1,1,1,17
20.233333333333334,5,7,0.714,1,2,0.5,1,2,0.5,1,2,1,0,0,12
20.86,3,7,0.429,0,1,0.0,1,2,0.5,1,2,0,1,0,7
18.1,3,7,0.429,1,3,0.333,0,2,0.0,3,1,1,0,0,7
20.35,6,10,0.6,0,2,0.0,1,2,0.5,5,2,3,1,1,13
26.666666666666668,8,13,0.615,1,4,0.25,4,5,0.8,6,2,4,0,1,21
15.966666666666667,2,3,0.667,0,1,0.0,1,2,0.5,2,1,1,0,0,5
23.583333333333332,2,11,0.182,0,3,0.0,6,7,0.857,3,0,0,2,0,10
20.65,2,7,0.286,0,1,0.0,8,11,0.727,3,0,0,0,0,12
18.816666666666666,4,12,0.333,0,1,0.0,2,2,1.0,4,2,0,0,0,10
18.688333333333333,2,8,0.25,0,3,0.0,6,8,0.75,1,0,1,1,1,10
19.561666666666667,5,14,0.357,1,4,0.25,4,5,0.8,3,0,1,0,2,15
21.815,9,15,0.6,0,2,0.0,1,2,0.5,2,1,3,0,0,19
17.116666666666667,4,9,0.444,1,2,0.5,3,3,1.0,1,1,0,1,0,12
18.8,3,8,0.375,1,3,0.333,2,3,0.667,2,1,3,1,0,9
25.988333333333333,5,11,0.455,1,3,0.333,1,2,0.5,5,0,2,0,0,12
20.128333333333334,4,8,0.5,0,0,0.0,4,6,0.667,6,1,2,2,1,12
