MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.43333333333333,5,13,0.385,4,11,0.364,3,4,0.75,6,2,2,1,0,17
34.333333333333336,8,18,0.444,2,7,0.286,4,4,1.0,6,2,2,0,1,22
35.78333333333333,6,14,0.429,3,9,0.333,5,6,0.833,9,2,3,1,2,20
28.83,3,11,0.273,3,8,0.375,6,7,0.857,3,6,2,1,0,15
24.971666666666668,8,17,0.471,6,10,0.6,1,1,1.0,3,1,2,0,1,23
31.033333333333335,7,16,0.438,5,11,0.455,1,1,1.0,3,3,1,0,0,20
36.5,5,13,0.385,3,9,0.333,3,3,1.0,2,4,4,0,1,16
27.433333333333334,1,10,0.1,1,6,0.167,2,2,1.0,2,3,2,1,0,5
33.27166666666667,5,16,0.313,3,10,0.3,3,3,1.0,5,3,1,1,0,16
27.801666666666666,5,16,0.313,2,5,0.4,2,2,1.0,5,1,3,0,1,14
32.05,5,12,0.417,2,8,0.25,3,6,0.5,6,1,2,1,0,15
28.195,8,16,0.5,1,8,0.125,0,0,0.0,1,3,2,0,0,17
31.755,5,14,0.357,3,9,0.333,2,2,1.0,3,2,2,1,0,15
32.64666666666667,6,10,0.6,4,6,0.667,2,2,1.0,3,1,1,0,0,18
29.266666666666666,6,15,0.4,1,4,0.25,1,1,1.0,2,2,2,0,3,14
29.25,7,12,0.583,5,10,0.5,0,0,0.0,4,0,1,0,1,19
32.803333333333335,7,12,0.583,2,4,0.5,2,2,1.0,3,4,3,1,0,18
36.266666666666666,6,18,0.333,3,11,0.273,0,0,0.0,7,3,3,0,1,15
