MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
31.95,5,13,0.385,2,5,0.4,9,10,0.9,5,2,0,2,0,21
27.65,6,10,0.6,1,4,0.25,0,0,0.0,3,1,0,0,1,13
13.09,4,4,1.0,3,3,1.0,0,0,0.0,1,2,0,0,0,11
16.9,4,4,1.0,1,1,1.0,0,2,0.0,4,1,2,0,0,9
22.528333333333332,4,8,0.5,0,1,0.0,0,1,0.0,9,1,1,0,1,8
21.6,3,7,0.429,1,3,0.333,0,0,0.0,4,0,0,0,0,7
17.616666666666667,1,4,0.25,0,3,0.0,4,4,1.0,4,1,2,1,0,6
22.916666666666668,5,11,0.455,2,4,0.5,0,1,0.0,4,1,1,0,1,12
13.71,4,6,0.667,1,2,0.5,2,2,1.0,2,2,0,1,0,11
13.111666666666666,1,6,0.167,0,4,0.0,0,0,0.0,3,0,1,0,0,2
17.75,2,4,0.5,2,3,0.667,2,2,1.0,5,1,1,0,0,8
13.885,4,7,0.571,2,3,0.667,0,0,0.0,3,1,0,1,0,10
19.321666666666665,2,6,0.333,0,2,0.0,0,0,0.0,2,2,0,3,0,4
14.29,1,3,0.333,0,2,0.0,1,2,0.5,3,0,0,1,0,3
17.518333333333334,3,7,0.429,2,5,0.4,0,0,0.0,1,2,1,1,0,8
15.12,0,3,0.0,0,2,0.0,1,2,0.5,3,0,0,0,1,1
20.85,5,8,0.625,2,5,0.4,1,1,1.0,3,4,0,0,0,13
17.466666666666665,1,6,0.167,1,5,0.2,2,2,1.0,3,1,0,0,1,5
21.10333333333333,4,5,0.8,2,3,0.667,0,0,0.0,3,1,1,3,0,10
17.988333333333333,4,6,0.667,2,4,0.5,1,2,0.5,3,0,1,3,1,11
