MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.60666666666667,7,18,0.389,4,9,0.444,4,4,1.0,4,11,2,0,0,22
33.0,8,15,0.533,3,9,0.333,7,9,0.778,7,8,2,1,1,26
37.055,8,20,0.4,4,12,0.333,9,9,1.0,10,6,5,0,1,29
34.81666666666667,11,20,0.55,7,14,0.5,6,6,1.0,3,6,6,1,0,35
27.706666666666667,6,15,0.4,1,8,0.125,3,3,1.0,3,6,2,0,0,16
34.78333333333333,8,14,0.571,5,9,0.556,11,12,0.917,5,1,4,0,0,32
40.266666666666666,8,21,0.381,5,11,0.455,4,4,1.0,7,3,2,0,0,25
36.13166666666667,11,25,0.44,5,13,0.385,11,12,0.917,5,3,5,1,0,38
32.55,9,24,0.375,4,14,0.286,8,8,1.0,3,2,4,1,1,30
34.46666666666667,6,17,0.353,6,13,0.462,5,5,1.0,5,4,3,1,0,23
32.62833333333333,12,26,0.462,7,17,0.412,3,4,0.75,2,4,3,0,0,34
30.821666666666665,8,16,0.5,7,11,0.636,5,6,0.833,2,4,6,1,0,28
31.385,9,15,0.6,5,10,0.5,7,7,1.0,8,7,3,2,0,30
32.33,7,15,0.467,4,10,0.4,3,3,1.0,5,3,7,0,0,21
30.033333333333335,15,22,0.682,7,13,0.538,5,7,0.714,5,5,3,2,0,42
31.428333333333335,6,16,0.375,6,14,0.429,6,6,1.0,7,6,1,0,1,24
34.833333333333336,14,19,0.737,7,10,0.7,6,6,1.0,4,4,4,2,0,41
30.748333333333335,8,20,0.4,4,14,0.286,7,7,1.0,5,1,2,1,0,27
