MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
31.616666666666667,6,7,0.857,0,0,0.0,0,0,0.0,5,0,2,3,0,12
25.116666666666667,2,5,0.4,1,1,1.0,2,2,1.0,5,0,2,0,0,7
27.566666666666666,2,6,0.333,0,2,0.0,1,1,1.0,4,0,2,2,1,5
31.666666666666668,3,5,0.6,1,2,0.5,0,0,0.0,3,2,3,1,1,7
19.0,2,6,0.333,0,2,0.0,3,3,1.0,0,2,1,0,1,7
25.266666666666666,5,7,0.714,2,2,1.0,0,0,0.0,3,1,1,2,0,12
30.916666666666668,2,7,0.286,0,3,0.0,2,3,0.667,3,4,2,0,1,6
27.966666666666665,4,5,0.8,2,2,1.0,0,0,0.0,8,2,0,0,1,10
33.266666666666666,4,7,0.571,1,1,1.0,1,3,0.333,7,3,0,3,1,10
33.9,8,12,0.667,4,7,0.571,0,1,0.0,7,3,2,4,0,20
19.633333333333333,2,4,0.5,2,4,0.5,4,4,1.0,2,1,2,0,0,10
29.581666666666667,2,3,0.667,2,3,0.667,0,0,0.0,2,1,0,0,0,6
19.316666666666666,3,7,0.429,1,3,0.333,3,3,1.0,3,0,0,0,1,10
26.283333333333335,4,5,0.8,1,2,0.5,0,2,0.0,3,3,1,0,0,9
27.616666666666667,2,5,0.4,1,4,0.25,0,2,0.0,3,3,3,3,0,5
27.865,4,12,0.333,1,6,0.167,0,0,0.0,5,1,1,1,2,9
14.216666666666667,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0
23.133333333333333,1,3,0.333,1,1,1.0,0,0,0.0,4,3,3,0,3,3
