MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
22.653333333333332,4,11,0.364,4,6,0.667,3,4,0.75,1,3,0,0,0,15
20.4,4,7,0.571,2,5,0.4,3,5,0.6,1,2,1,2,0,13
19.066666666666666,4,7,0.571,0,1,0.0,0,0,0.0,5,1,0,1,0,8
27.9,3,14,0.214,1,10,0.1,3,3,1.0,1,2,0,0,0,10
32.63666666666666,7,12,0.583,6,10,0.6,0,0,0.0,5,1,3,0,0,20
18.216666666666665,2,7,0.286,1,4,0.25,1,1,1.0,4,1,1,0,0,6
21.033333333333335,5,9,0.556,1,4,0.25,1,2,0.5,2,1,0,1,0,12
26.268333333333334,3,5,0.6,1,3,0.333,1,1,1.0,3,1,0,1,0,8
25.733333333333334,3,8,0.375,3,7,0.429,3,4,0.75,1,4,0,0,0,12
24.35,3,7,0.429,2,5,0.4,2,2,1.0,2,3,2,1,0,10
26.516666666666666,2,8,0.25,0,5,0.0,4,4,1.0,3,4,1,1,0,8
16.35,5,6,0.833,3,3,1.0,2,2,1.0,4,0,0,0,0,15
23.016666666666666,5,9,0.556,2,4,0.5,0,0,0.0,3,3,2,1,0,12
14.033333333333333,0,2,0.0,0,2,0.0,3,4,0.75,1,0,2,0,0,3
13.806666666666667,1,5,0.2,0,4,0.0,0,0,0.0,0,1,0,0,0,2
23.583333333333332,3,6,0.5,3,6,0.5,0,2,0.0,2,0,2,0,0,9
31.71,8,14,0.571,5,10,0.5,1,1,1.0,3,2,2,1,0,22
24.45,4,11,0.364,1,5,0.2,2,2,1.0,5,1,1,0,0,11
