MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
20.666666666666668,3,4,0.75,1,1,1.0,0,0,0.0,6,1,1,1,0,7
11.616666666666667,1,4,0.25,0,1,0.0,4,5,0.8,1,0,0,0,0,6
19.283333333333335,5,8,0.625,3,6,0.5,3,3,1.0,2,2,1,0,0,16
17.9,2,5,0.4,1,2,0.5,2,2,1.0,4,1,0,0,0,7
13.583333333333334,0,5,0.0,0,2,0.0,1,2,0.5,5,1,0,0,0,1
18.116666666666667,2,6,0.333,0,3,0.0,0,0,0.0,2,3,0,0,0,4
17.4,3,7,0.429,1,3,0.333,0,0,0.0,6,1,0,0,2,7
18.116666666666667,3,6,0.5,0,2,0.0,4,4,1.0,6,1,2,0,0,10
19.566666666666666,3,7,0.429,1,3,0.333,5,5,1.0,3,3,0,1,0,12
17.916666666666668,3,6,0.5,1,4,0.25,2,2,1.0,1,4,1,0,0,9
19.653333333333332,7,11,0.636,4,7,0.571,0,2,0.0,4,2,1,0,1,18
18.866666666666667,4,5,0.8,0,0,0.0,0,0,0.0,5,0,0,0,0,8
16.165,1,5,0.2,0,2,0.0,1,2,0.5,2,2,1,1,0,3
17.166666666666668,4,7,0.571,2,2,1.0,6,6,1.0,3,0,0,0,0,16
