MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
20.45,2,7,0.286,0,2,0.0,2,2,1.0,3,5,0,0,0,6
27.65,9,12,0.75,1,2,0.5,3,4,0.75,4,5,0,2,0,22
25.933333333333334,6,9,0.667,1,3,0.333,3,3,1.0,6,5,3,0,0,16
16.828333333333333,3,8,0.375,1,4,0.25,2,2,1.0,6,2,3,0,0,9
28.41,1,6,0.167,0,0,0.0,0,0,0.0,5,5,0,0,0,2
28.333333333333332,5,9,0.556,1,2,0.5,2,2,1.0,5,1,1,0,0,13
31.45,3,5,0.6,0,1,0.0,1,2,0.5,4,2,0,0,1,7
31.65,7,11,0.636,2,4,0.5,2,2,1.0,4,2,3,1,1,18
23.983333333333334,5,6,0.833,3,4,0.75,2,2,1.0,3,4,0,3,0,15
29.80666666666667,4,7,0.571,1,1,1.0,0,0,0.0,8,6,4,0,0,9
37.6,6,18,0.333,1,8,0.125,1,2,0.5,9,3,2,3,0,14
30.746666666666666,5,9,0.556,1,4,0.25,0,0,0.0,6,5,3,1,1,11
27.533333333333335,3,10,0.3,0,1,0.0,3,3,1.0,3,5,1,0,1,9
27.566666666666666,5,8,0.625,2,4,0.5,4,4,1.0,5,6,1,1,0,16
23.766666666666666,6,8,0.75,1,2,0.5,1,2,0.5,4,3,2,0,0,14
23.576666666666668,10,16,0.625,2,4,0.5,0,1,0.0,5,3,1,2,1,22
22.22,4,10,0.4,1,3,0.333,2,2,1.0,7,1,0,1,0,11
27.445,4,8,0.5,2,3,0.667,0,0,0.0,6,2,1,1,0,10
20.666666666666668,4,8,0.5,0,0,0.0,1,2,0.5,7,5,2,1,0,9
