MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
30.333333333333332,3,12,0.25,0,5,0.0,8,9,0.889,4,4,2,1,0,14
26.133333333333333,5,12,0.417,4,7,0.571,5,6,0.833,5,2,2,2,1,19
25.383333333333333,3,9,0.333,0,2,0.0,4,4,1.0,0,3,4,1,0,10
33.76166666666666,9,20,0.45,1,6,0.167,7,9,0.778,5,7,2,0,0,26
33.10666666666667,8,21,0.381,4,11,0.364,4,4,1.0,5,2,3,3,0,24
32.7,11,26,0.423,3,9,0.333,5,5,1.0,1,1,0,0,0,30
28.516666666666666,2,11,0.182,0,6,0.0,4,4,1.0,1,4,5,0,0,8
32.05166666666667,6,17,0.353,2,7,0.286,2,2,1.0,5,3,5,1,0,16
35.17666666666667,6,16,0.375,2,6,0.333,0,0,0.0,4,6,4,3,1,14
32.211666666666666,5,12,0.417,2,8,0.25,0,1,0.0,5,2,3,0,1,12
31.233333333333334,6,14,0.429,1,5,0.2,1,1,1.0,2,6,3,0,0,14
20.4,3,12,0.25,1,5,0.2,4,5,0.8,2,1,1,0,0,11
31.266666666666666,8,15,0.533,4,9,0.444,3,3,1.0,1,6,2,0,1,23
28.416666666666668,8,14,0.571,3,4,0.75,0,1,0.0,1,6,2,4,0,19
20.483333333333334,5,13,0.385,2,6,0.333,1,1,1.0,0,1,1,1,0,13
25.266666666666666,5,11,0.455,1,5,0.2,0,0,0.0,3,2,3,3,1,11
35.75,8,23,0.348,4,12,0.333,7,9,0.778,4,2,5,1,1,27
26.316666666666666,7,18,0.389,0,6,0.0,4,5,0.8,2,5,4,1,1,18
