MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
37.34,10,18,0.556,2,6,0.333,5,6,0.833,6,1,6,1,2,27
34.53333333333333,9,20,0.45,1,4,0.25,4,5,0.8,3,6,4,0,0,23
34.916666666666664,10,23,0.435,2,7,0.286,10,11,0.909,12,8,1,0,0,32
25.2,4,10,0.4,2,5,0.4,2,2,1.0,7,8,5,0,0,12
31.15,9,22,0.409,3,8,0.375,1,1,1.0,4,4,1,0,2,22
35.416666666666664,12,22,0.545,3,6,0.5,1,1,1.0,9,10,2,1,2,28
30.966666666666665,10,15,0.667,2,5,0.4,0,0,0.0,3,13,2,2,1,22
31.831666666666667,8,21,0.381,3,8,0.375,0,0,0.0,4,5,2,0,0,19
29.8,6,18,0.333,2,6,0.333,8,10,0.8,6,3,2,0,0,22
37.96333333333333,14,25,0.56,4,7,0.571,2,3,0.667,3,3,6,0,0,34
31.283333333333335,4,16,0.25,0,5,0.0,7,10,0.7,4,3,1,1,2,15
29.083333333333332,7,17,0.412,2,5,0.4,1,1,1.0,6,1,3,0,0,17
31.32,13,24,0.542,4,11,0.364,3,3,1.0,9,4,2,0,0,33
29.966666666666665,12,20,0.6,4,5,0.8,0,1,0.0,6,4,2,0,1,28
31.05,8,19,0.421,4,9,0.444,2,2,1.0,4,3,5,0,0,22
25.216666666666665,11,21,0.524,1,6,0.167,2,3,0.667,9,6,1,0,0,25
26.333333333333332,9,15,0.6,3,6,0.5,0,0,0.0,5,4,2,0,0,21
35.85,9,23,0.391,1,10,0.1,2,3,0.667,13,2,0,1,0,21
24.866666666666667,9,18,0.5,1,4,0.25,6,6,1.0,2,0,0,0,2,25
